Day of Week,Date,,,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Sherdog,Event Sherdog,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting
Saturday,11/7/2015,FALSE,FALSE,UFC Fight Night: Belfort vs. Henderson 3,11/7/2015,UFC Fight Night: Belfort vs. Henderson 3,11/7/2015,UFC Fight Night - Belfort vs Henderson,11/7/2015,UFC Fight Night 77 - Belfort vs. Henderson 3,11/7/2015,UFC Fight Night: Belfort vs Henderson,11/7/2015,
Saturday,10/24/2015,FALSE,FALSE,UFC Fight Night: Holohan vs. Smolka,10/24/2015,UFC Fight Night: Holohan vs. Smolka,10/24/2015,UFC Fight Night - Holohan vs. Smolka,10/24/2015,,10/24/2015,UFC Fight Night: Holohan vs Smolka,10/24/2015,
Saturday,10/3/2015,FALSE,FALSE,UFC 192: Cormier vs. Gustafsson,10/3/2015,UFC 192: Cormier vs. Gustafsson,10/3/2015,UFC 192 - Cormier vs. Gustafsson,10/3/2015,UFC 192 - Cormier vs. Gustafsson,10/3/2015,UFC 192: Cormier vs Gustafsson,10/3/2015,
Saturday,9/26/2015,FALSE,FALSE,UFC Fight Night: Barnett vs. Nelson,9/27/2015,UFC Fight Night: Barnett vs. Nelson,9/26/2015,UFC Fight Night - Barnett vs. Nelson,9/26/2015,,9/26/2015,UFC Fight Night: Barnett vs Nelson,9/26/2015,
Saturday,9/5/2015,FALSE,FALSE,UFC 191: Johnson vs. Dodson 2,9/5/2015,UFC 191: Johnson vs. Dodson 2,9/5/2015,UFC 191 - Johnson vs. Dodson 2,9/5/2015,UFC 191 - Johnson vs. Dodson 2,9/5/2015,UFC 191: Johnson vs Dodson 2,9/5/2015,
Sunday,8/23/2015,FALSE,FALSE,UFC Fight Night: Holloway vs. Oliveira,8/23/2015,UFC Fight Night: Holloway vs. Oliveira,8/23/2015,UFC Fight Night - Holloway vs. Oliveira,8/23/2015,,8/23/2015,UFC Fight Night: Holloway vs Oliveira,8/23/2015,
Saturday,8/8/2015,FALSE,FALSE,UFC Fight Night: Teixeira vs. Saint Preux,8/8/2015,UFC Fight Night: Teixeira vs. Saint Preux,8/8/2015,UFC Fight Night - Teixeira vs. Saint Preux,8/8/2015,UFC Fight Night 73 - Teixeira vs. St. Preux,8/8/2015,UFC Fight Night: Teixeira vs Saint Preux,8/8/2015,
Saturday,8/1/2015,FALSE,FALSE,UFC 190: Rousey vs. Correia,8/1/2015,UFC 190: Rousey vs. Correia,8/1/2015,UFC 190 - Rousey vs. Correia,8/1/2015,,8/1/2015,UFC 190: Rousey vs Correia,8/1/2015,
Saturday,7/25/2015,FALSE,FALSE,UFC on Fox: Dillashaw vs. Baro 2,7/25/2015,UFC on Fox: Dillashaw vs. Baro 2,7/25/2015,UFC Fight Night - Dillashaw vs. Barao 2,7/25/2015,UFC on Fox 16 - Dillashaw vs. Barao 2,7/25/2015,UFC on Fox: Dillashaw vs. Barao II,7/25/2015,
Saturday,7/18/2015,FALSE,FALSE,UFC Fight Night: Bisping vs. Leites,7/18/2015,UFC Fight Night: Bisping vs. Leites,7/18/2015,UFC Fight Night - Bisping vs. Leites,7/18/2015,,7/18/2015,UFC Fight Night: Bisping vs Leites,7/18/2015,
Wednesday,7/15/2015,FALSE,FALSE,UFC Fight Night: Mir vs. Duffee,7/15/2015,UFC Fight Night: Mir vs. Duffee,7/15/2015,UFC Fight Night - Mir vs. Duffee,7/15/2015,UFC Fight Night 71 - Mir vs. Duffee,7/15/2015,UFC Fight Night: Mir vs Duffee,7/15/2015,
Sunday,7/12/2015,FALSE,FALSE,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,7/12/2015,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,7/12/2015,The Ultimate Fighter Finale - American Top Team vs. Blackzilians,7/12/2015,,7/12/2015,The Ultimate Fighter 21 Finale,7/12/2015,
Saturday,7/11/2015,FALSE,FALSE,UFC 189: Mendes vs. McGregor,7/11/2015,UFC 189: Mendes vs. McGregor,7/11/2015,UFC 189 - Mendes vs. McGregor,7/11/2015,UFC 189 - Mendes vs. McGregor,7/11/2015,UFC 189: Mendes vs McGregor,7/11/2015,
Saturday,6/27/2015,FALSE,FALSE,UFC Fight Night: Machida vs. Romero,6/27/2015,UFC Fight Night: Machida vs. Romero,6/27/2015,UFC Fight Night - Machida vs. Romero,6/27/2015,,6/27/2015,UFC Fight Night: Machida vs Romero,6/27/2015,
Saturday,6/20/2015,FALSE,FALSE,UFC Fight Night: Jdrzejczyk vs. Penne,6/20/2015,UFC Fight Night: Jdrzejczyk vs. Penne,6/20/2015,UFC Fight Night - Jedrzejczyk vs. Penne,6/20/2015,UFC Fight Night 69 - Jedrzejczyk vs. Penne,6/20/2015,UFC Fight Night: Jedrzejczyk vs Penne,6/20/2015,
Saturday,6/13/2015,FALSE,FALSE,UFC 188: Velasquez vs. Werdum,6/13/2015,UFC 188: Velasquez vs. Werdum,6/13/2015,UFC 188 - Velasquez vs. Werdum,6/13/2015,,6/13/2015,UFC 188: Velasquez vs Werdum,6/13/2015,
Saturday,6/6/2015,FALSE,FALSE,UFC Fight Night: Boetsch vs. Henderson,6/6/2015,UFC Fight Night: Boetsch vs. Henderson,6/6/2015,UFC Fight Night - Boetsch vs. Henderson,6/6/2015,UFC Fight Night 68 - Boetsch vs. Henderson,6/6/2015,UFC Fight Night: Boetsch vs Henderson,6/6/2015,
Saturday,5/30/2015,FALSE,FALSE,UFC Fight Night: Condit vs. Alves,5/30/2015,UFC Fight Night: Condit vs. Alves,5/30/2015,UFC Fight Night - Condit vs. Alves,5/30/2015,,5/30/2015,UFC Fight Night: Condit vs Alves,5/30/2015,
Saturday,5/23/2015,FALSE,FALSE,UFC 187: Johnson vs. Cormier,5/23/2015,UFC 187: Johnson vs. Cormier,5/23/2015,UFC 187 - Johnson vs. Cormier,5/23/2015,UFC 187 - Johnson vs. Cormier,5/23/2015,UFC 187: Johnson vs Cormier,5/23/2015,
Saturday,5/16/2015,FALSE,FALSE,UFC Fight Night: Edgar vs. Faber,5/16/2015,UFC Fight Night: Edgar vs. Faber,5/16/2015,UFC Fight Night - Edgar vs. Faber,5/16/2015,,5/16/2015,UFC Fight Night: Edgar vs Faber,5/16/2015,
Saturday,5/9/2015,FALSE,FALSE,UFC Fight Night: Miocic vs. Hunt,5/10/2015,UFC Fight Night: Miocic vs. Hunt,5/9/2015,UFC Fight Night - Miocic vs. Hunt,5/10/2015,UFC Fight Night 65 - Miocic vs. Hunt,5/9/2015,UFC Fight Night: Miocic vs Hunt,5/9/2015,
Saturday,4/25/2015,FALSE,FALSE,UFC 186: Johnson vs. Horiguchi,4/25/2015,UFC 186: Johnson vs. Horiguchi,4/25/2015,UFC 186 - Johnson vs. Horiguchi,4/25/2015,,4/25/2015,UFC 186: Johnson vs Horiguchi,4/25/2015,
Saturday,4/18/2015,FALSE,FALSE,UFC on Fox: Machida vs. Rockhold,4/18/2015,UFC on Fox: Machida vs. Rockhold,4/18/2015,UFC Fight Night - Machida vs. Rockhold,4/18/2015,UFC on Fox 15 - Machida vs. Rockhold,4/18/2015,UFC Fight Night: Machida vs Rockhold,4/18/2015,
Saturday,4/11/2015,FALSE,FALSE,UFC Fight Night: Gonzaga vs. Cro Cop 2,4/11/2015,UFC Fight Night: Gonzaga vs. Cro Cop 2,4/11/2015,UFC Fight Night - Gonzaga vs. Cro Cop 2,4/11/2015,,4/11/2015,UFC Fight Night: Gonzaga vs Cro Cop 2,4/11/2015,
Saturday,4/4/2015,FALSE,FALSE,UFC Fight Night: Mendes vs. Lamas,4/4/2015,UFC Fight Night: Mendes vs. Lamas,4/4/2015,UFC Fight Night - Mendes vs. Lamas,4/4/2015,UFC Fight Night 63 - Mendes vs. Lamas,4/4/2015,UFC Fight Night: Mendes vs Lamas,4/4/2015,
Saturday,3/21/2015,FALSE,FALSE,UFC Fight Night: Maia vs. LaFlare,3/21/2015,UFC Fight Night: Maia vs. LaFlare,3/21/2015,UFC Fight Night - Maia vs. LaFlare,3/21/2015,,3/21/2015,UFC Fight Night: Maia vs LaFlare,3/21/2015,
Saturday,3/14/2015,FALSE,FALSE,UFC 185: Pettis vs. dos Anjos,3/14/2015,UFC 185: Pettis vs. dos Anjos,3/14/2015,UFC 185 - Pettis vs. Dos Anjos,3/14/2015,UFC 185 - Pettis vs. Dos Anjos,3/14/2015,UFC 185: Pettis vs Dos Anjos,3/14/2015,
Saturday,2/28/2015,FALSE,FALSE,UFC 184: Rousey vs. Zingano,2/28/2015,UFC 184: Rousey vs. Zingano,2/28/2015,UFC 184 - Rousey vs. Zingano,2/28/2015,,2/28/2015,UFC 184: Rousey vs Zingano,2/28/2015,
Sunday,2/22/2015,FALSE,FALSE,UFC Fight Night: Bigfoot vs. Mir,2/22/2015,UFC Fight Night: Bigfoot vs. Mir,2/22/2015,UFC Fight Night - Bigfoot vs. Mir,2/22/2015,UFC Fight Night 61 - Bigfoot vs. Mir,2/22/2015,UFC Fight Night: Bigfoot vs Mir,2/22/2015,
Saturday,2/14/2015,FALSE,FALSE,UFC Fight Night: Henderson vs. Thatch,2/14/2015,UFC Fight Night: Henderson vs. Thatch,2/14/2015,UFC Fight Night - Henderson vs. Thatch,2/14/2015,,2/14/2015,UFC Fight Night: Henderson vs Thatch,2/14/2015,
Saturday,1/31/2015,FALSE,FALSE,UFC 183: Silva vs. Diaz,1/31/2015,UFC 183: Silva vs. Diaz,1/31/2015,UFC 183 - Silva vs. Diaz,1/31/2015,UFC 183 - Silva vs. Diaz,1/31/2015,UFC 183: Silva vs Diaz,1/31/2015,
Saturday,1/24/2015,FALSE,FALSE,UFC on Fox: Gustafsson vs. Johnson,1/24/2015,UFC on Fox: Gustafsson vs. Johnson,1/24/2015,UFC Fight Night - Gustafsson vs. Johnson,1/24/2015,,1/24/2015,UFC Fight Night: Gustafsson vs Johnson,1/24/2015,
Sunday,1/18/2015,FALSE,FALSE,UFC Fight Night: McGregor vs. Siver,1/18/2015,UFC Fight Night: McGregor vs. Siver,1/18/2015,UFC Fight Night - McGregor vs. Siver,1/18/2015,UFC Fight Night 59 - McGregor vs. Siver,1/18/2015,UFC Fight Night: McGregor vs Siver,1/18/2015,
Saturday,1/3/2015,FALSE,FALSE,UFC 182: Jones vs. Cormier,1/3/2015,UFC 182: Jones vs. Cormier,1/3/2015,UFC 182 - Jones vs. Cormier,1/3/2015,,1/3/2015,UFC 182: Jones vs Cormier,1/3/2015,UFC 182
Saturday,12/20/2014,FALSE,FALSE,UFC Fight Night: Machida vs. Dollaway,12/20/2014,UFC Fight Night: Machida vs. Dollaway,12/20/2014,UFC Fight Night - Machida vs. Dollaway,12/20/2014,UFC Fight Night 58 - Machida vs. Dollaway,12/20/2014,UFC Fight Night: Machida vs Dollaway,12/20/2014,
Saturday,12/13/2014,FALSE,FALSE,UFC on Fox: dos Santos vs. Miocic,12/13/2014,UFC on Fox: dos Santos vs. Miocic,12/13/2014,UFC Fight Night - Dos Santos vs. Miocic,12/13/2014,,12/13/2014,UFC Fight Night: Dos Santos vs Miocic,12/13/2014,
Friday,12/12/2014,FALSE,FALSE,The Ultimate Fighter: A Champion Will Be Crowned Finale,12/12/2014,The Ultimate Fighter: A Champion Will Be Crowned Finale,12/12/2014,The Ultimate Fighter Finale,12/12/2014,UFC - The Ultimate Fighter 20 Finale,12/12/2014,The Ultimate Fighter 20 Finale,12/12/2014,
Saturday,12/6/2014,FALSE,FALSE,UFC 181: Hendricks vs. Lawler II,12/6/2014,UFC 181: Hendricks vs. Lawler II,12/6/2014,UFC 181 - Hendricks vs. Lawler II,12/6/2014,,12/6/2014,UFC 181: Hendricks vs Lawler II,12/6/2014,
Saturday,11/22/2014,FALSE,FALSE,UFC Fight Night: Edgar vs. Swanson,11/22/2014,UFC Fight Night: Edgar vs. Swanson,11/22/2014,UFC Fight Night - Edgar vs. Swanson,11/22/2014,UFC Fight Night 57 - Edgar vs. Swanson,11/22/2014,UFC Fight Night: Edgar vs Swanson,11/22/2014,
,11/15/2014,FALSE,FALSE,UFC 180: Werdum vs. Hunt,11/15/2014,UFC 180: Werdum vs. Hunt,11/15/2014,UFC 180 - Werdum vs. Hunt,11/15/2014,,11/15/2014,UFC 180: Werdum vs Hunt,11/15/2014,
Saturday,11/8/2014,FALSE,TRUE,UFC Fight Night: Rockhold vs. Bisping,11/8/2014,UFC Fight Night: Rockhold vs. Bisping,11/8/2014,,11/8/2014,,11/8/2014,,11/8/2014,
Saturday,11/8/2014,TRUE,FALSE,UFC Fight Night: Shogun vs. Saint Preux,11/8/2014,UFC Fight Night: Shogun vs. Saint Preux,11/8/2014,UFC Fight Night - Shogun vs. Saint Preux,11/8/2014,UFC Fight Night 56 - Shogun vs. St. Preux,11/8/2014,UFC Fight Night 56: Shogun vs Saint Preux,11/8/2014,
Friday,11/7/2014,FALSE,FALSE,UFC Fight Night: Rockhold vs Bisping,11/7/2014,,11/7/2014,UFC Fight Night - Rockhold vs. Bisping,11/7/2014,,11/7/2014,UFC Fight Night: Rockhold vs Bisping,11/7/2014,
Saturday,10/25/2014,FALSE,FALSE,UFC 179: Aldo vs. Mendes 2,10/25/2014,UFC 179: Aldo vs. Mendes 2,10/25/2014,UFC 179 - Aldo vs. Mendes 2,10/25/2014,UFC 179 - Aldo vs. Mendes 2,10/25/2014,UFC 179: Aldo vs Mendes 2,10/25/2014,
Saturday,10/4/2014,FALSE,TRUE,UFC Fight Night: MacDonald vs. Saffiedine,10/4/2014,UFC Fight Night: MacDonald vs. Saffiedine,10/4/2014,UFC Fight Night - MacDonald vs. Saffiedine,,,10/4/2014,UFC Fight Night: MacDonald vs Saffiedine,10/4/2014,
Saturday,10/4/2014,TRUE,FALSE,UFC Fight Night: Nelson vs. Story,10/4/2014,UFC Fight Night: Nelson vs. Story,10/4/2014,UFC Fight Night - Nelson vs. Story,10/4/2014,UFC Fight Night 53 - Nelson vs. Story,10/4/2014,UFC Fight Night: Nelson vs Story,10/4/2014,
Saturday,9/27/2014,FALSE,FALSE,UFC 178: Johnson vs. Cariaso,9/27/2014,UFC 178: Johnson vs. Cariaso,9/27/2014,UFC 178 - Johnson vs. Cariaso,9/27/2014,,9/27/2014,UFC 178: Johnson vs Cariaso,9/27/2014,
Saturday,9/20/2014,FALSE,FALSE,UFC Fight Night: Hunt vs. Nelson,9/20/2014,UFC Fight Night: Hunt vs. Nelson,9/20/2014,UFC Fight Night - Hunt vs. Nelson,9/20/2014,UFC Fight Night 52 - Hunt vs. Nelson,9/20/2014,UFC Fight Night: Hunt vs Nelson,9/20/2014,
,9/13/2014,FALSE,FALSE,UFC Fight Night: Bigfoot vs. Arlovski,9/13/2014,UFC Fight Night: Bigfoot vs. Arlovski,9/13/2014,UFC Fight Night - Bigfoot vs. Arlovski,9/13/2014,,9/13/2014,UFC Fight Night: Silva vs Arlovski,9/13/2014,
Friday,9/5/2014,FALSE,FALSE,UFC Fight Night: Jacar vs. Mousasi,9/5/2014,UFC Fight Night: Jacar vs. Mousasi,9/5/2014,UFC Fight Night - Jacare vs. Mousasi,9/5/2014,UFC Fight Night 50 - Jacare vs. Mousasi 2,9/5/2014,UFC Fight Night: Souza vs Mousasi,9/5/2014,
Saturday,8/30/2014,FALSE,FALSE,UFC 177: Dillashaw vs. Soto,8/30/2014,UFC 177: Dillashaw vs. Soto,8/30/2014,UFC 177 - Dillashaw vs. Soto,8/30/2014,,8/30/2014,UFC 177: Dillashaw vs Soto,8/30/2014,
Saturday,8/23/2014,FALSE,TRUE,UFC Fight Night: Henderson vs. dos Anjos,8/23/2014,UFC Fight Night: Henderson vs. dos Anjos,8/23/2014,UFC Fight Night - Henderson vs. Dos Anjos,8/23/2014,UFC Fight Night 49 - Henderson vs. dos Anjos,8/23/2014,UFC Fight Night: Henderson vs Dos Anjos,8/23/2014,
Saturday,8/23/2014,TRUE,FALSE,UFC Fight Night: Bisping vs. Le,8/23/2014,UFC Fight Night: Bisping vs. Le,8/23/2014,UFC Fight Night - Bisping vs. Le,,,8/23/2014,UFC Fight Night: Bisping vs Le,8/23/2014,
Saturday,8/16/2014,FALSE,FALSE,UFC Fight Night: Bader vs. Saint Preux,8/16/2014,UFC Fight Night: Bader vs. Saint Preux,8/16/2014,UFC Fight Night - Bader vs. Saint Preux,8/16/2014,UFC Fight Night 47 - Bader vs. St. Preux,8/16/2014,UFC Fight Night: Bader vs Saint Preux,8/16/2014,
Saturday,8/2/2014,FALSE,FALSE,UFC 176: Aldo vs. Mendes II,8/2/2014,UFC 176: Aldo vs. Mendes II,8/2/2014,,8/2/2014,,8/2/2014,,8/2/2014,
Saturday,7/26/2014,FALSE,FALSE,UFC on Fox: Lawler vs. Brown,7/26/2014,UFC on Fox: Lawler vs. Brown,7/26/2014,UFC Fight Night - Lawler vs. Brown,7/26/2014,UFC on Fox 12 - Lawler vs. Brown,7/26/2014,UFC on Fox: Lawler vs Brown,7/26/2014,
Saturday,7/19/2014,FALSE,FALSE,UFC Fight Night: McGregor vs. Brandao,7/19/2014,UFC Fight Night: McGregor vs. Brandao,7/19/2014,UFC Fight Night - McGregor vs. Brandao,7/19/2014,,7/19/2014,UFC Fight Night: McGregor vs Brandao,7/19/2014,
Wednesday,7/16/2014,FALSE,FALSE,UFC Fight Night: Cerrone vs. Miller,7/16/2014,UFC Fight Night: Cerrone vs. Miller,7/16/2014,UFC Fight Night - Cerrone vs. Miller,7/16/2014,UFC Fight Night 45 - Cerrone vs. Miller,7/16/2014,UFC Fight Night: Cerrone vs Miller,7/16/2014,
Sunday,7/6/2014,FALSE,FALSE,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,7/6/2014,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,7/6/2014,The Ultimate Fighter Finale - Edgar vs. Penn,7/6/2014,,7/6/2014,The Ultimate Fighter 19 Finale,7/6/2014,
Saturday,7/5/2014,FALSE,FALSE,UFC 175: Weidman vs. Machida,7/5/2014,UFC 175: Weidman vs. Machida,7/5/2014,UFC 175 - Weidman vs. Machida,7/5/2014,UFC 175 - Weidman vs. Machida,7/5/2014,UFC 175: Weidman vs Machida,7/5/2014,
Saturday,6/28/2014,FALSE,TRUE,UFC Fight Night: Te Huna vs. Marquardt,6/28/2014,UFC Fight Night: Te Huna vs. Marquardt,6/28/2014,UFC Fight Night - Te Huna vs. Marquardt,6/28/2014,UFC Fight Night 43 - Te Huna vs. Marquardt,6/28/2014,UFC Fight Night: Te Huna vs Marquardt,6/28/2014,
Saturday,6/28/2014,TRUE,FALSE,UFC Fight Night: Swanson vs. Stephens,6/28/2014,UFC Fight Night: Swanson vs. Stephens,6/28/2014,UFC Fight Night - Swanson vs. Stephens,,,6/28/2014,UFC Fight Night: Swanson vs Stephens,6/28/2014,
Saturday,6/14/2014,FALSE,FALSE,UFC 174: Johnson vs. Bagautinov,6/14/2014,UFC 174: Johnson vs. Bagautinov,6/14/2014,UFC 174 - Johnson vs. Bagautinov,6/14/2014,,6/14/2014,UFC 174: Johnson vs Bagautinov,6/14/2014,
Saturday,6/7/2014,FALSE,FALSE,UFC Fight Night: Henderson vs. Khabilov,6/7/2014,UFC Fight Night: Henderson vs. Khabilov,6/7/2014,UFC Fight Night - Henderson vs. Khabilov,6/7/2014,UFC Fight Night 42 - Henderson vs. Khabilov,6/7/2014,UFC Fight Night: Henderson vs Khabilov,6/7/2014,
Saturday,5/31/2014,FALSE,TRUE,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,5/31/2014,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,5/31/2014,UFC Fight Night - Miocic vs. Maldonado,5/31/2014,UFC - The Ultimate Fighter Brazil 3 Finale,5/31/2014,TUF Brazil Finale: Miocic vs Maldonado,5/31/2014,
Saturday,5/31/2014,TRUE,FALSE,UFC Fight Night: Muoz vs. Mousasi,5/31/2014,UFC Fight Night: Muoz vs. Mousasi,5/31/2014,UFC Fight Night - Munoz vs. Mousasi,,,5/31/2014,UFC Fight Night: Munoz vs Mousasi,5/31/2014,
Saturday,5/24/2014,FALSE,FALSE,UFC 173: Baro vs. Dillashaw,5/24/2014,UFC 173: Baro vs. Dillashaw,5/24/2014,UFC 173 - Barao vs. Dillashaw,5/24/2014,,5/24/2014,UFC 173: Barao vs Dillashaw,5/24/2014,
Saturday,5/10/2014,FALSE,FALSE,UFC Fight Night: Brown vs. Silva,5/10/2014,UFC Fight Night: Brown vs. Silva,5/10/2014,UFC Fight Night - Brown vs. Silva,5/10/2014,UFC Fight Night 40 - Brown vs. Silva,5/10/2014,UFC Fight Night: Brown vs Silva,5/10/2014,
Saturday,4/26/2014,FALSE,FALSE,UFC 172: Jones vs. Teixeira,4/26/2014,UFC 172: Jones vs. Teixeira,4/26/2014,UFC 172 - Jones vs. Teixeira,4/26/2014,,4/26/2014,UFC 172: Jones vs Teixeira,4/26/2014,
Saturday,4/19/2014,FALSE,FALSE,UFC on Fox: Werdum vs. Browne,4/19/2014,UFC on Fox: Werdum vs. Browne,4/19/2014,FOX UFC Saturday - Werdum vs. Browne,4/19/2014,UFC on Fox 11 - Werdum vs. Browne,4/19/2014,UFC on Fox: Werdum vs Browne,4/19/2014,
Wednesday,4/16/2014,FALSE,FALSE,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,4/16/2014,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,4/16/2014,TUF Nations Finale - Bisping vs. Kennedy,4/16/2014,,4/16/2014,UFC Fight Night: Bisping vs Kennedy,4/16/2014,
Friday,4/11/2014,FALSE,FALSE,UFC Fight Night: Nogueira vs. Nelson,4/11/2014,UFC Fight Night: Nogueira vs. Nelson,4/11/2014,UFC Fight Night - Nogueira vs. Nelson,4/11/2014,UFC Fight Night 39 - Nogueira vs. Nelson,4/11/2014,UFC Fight Night: Minotauro vs Nelson,4/11/2014,
Sunday,3/23/2014,FALSE,FALSE,UFC Fight Night: Shogun vs. Henderson 2,3/23/2014,UFC Fight Night: Shogun vs. Henderson 2,3/23/2014,UFC Fight Night - Shogun vs. Henderson 2,3/23/2014,,3/23/2014,UFC Fight Night: Shogun vs Henderson,3/23/2014,
Saturday,3/15/2014,FALSE,FALSE,UFC 171: Hendricks vs. Lawler,3/15/2014,UFC 171: Hendricks vs. Lawler,3/15/2014,UFC 171 - Hendricks vs. Lawler,3/15/2014,UFC 171 - Hendricks vs. Lawler,3/15/2014,UFC 171: Hendricks vs Lawler,3/15/2014,
Saturday,3/8/2014,FALSE,FALSE,UFC Fight Night: Gustafsson vs. Manuwa,3/8/2014,UFC Fight Night: Gustafsson vs. Manuwa,3/8/2014,UFC Fight Night - Gustafsson vs. Manuwa,3/8/2014,,3/8/2014,UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,
Saturday,3/1/2014,FALSE,FALSE,The Ultimate Fighter China Finale: Kim vs. Hathaway,3/1/2014,The Ultimate Fighter China Finale: Kim vs. Hathaway,3/1/2014,UFC Fight Night - Kim vs. Hathaway,3/1/2014,UFC - The Ultimate Fighter China Finale,3/1/2014,UFC Fight Night: Kim vs Hathaway,3/1/2014,
Saturday,2/22/2014,FALSE,FALSE,UFC 170: Rousey vs. McMann,2/22/2014,UFC 170: Rousey vs. McMann,2/22/2014,UFC 170 - Rousey vs. McMann,2/22/2014,,2/22/2014,UFC 170: Rousey vs McMann,2/22/2014,
Saturday,2/15/2014,FALSE,FALSE,UFC Fight Night: Machida vs. Mousasi,2/15/2014,UFC Fight Night: Machida vs. Mousasi,2/15/2014,UFC Fight Night - Machida vs. Mousasi,2/15/2014,UFC Fight Night 36 - Machida vs. Mousasi,2/15/2014,UFC Fight Night: Machida vs Mousasi,2/15/2014,
Saturday,2/1/2014,FALSE,FALSE,UFC 169: Baro vs. Faber II,2/1/2014,UFC 169: Baro vs. Faber II,2/1/2014,UFC 169 - Live on Pay-Per-View,2/1/2014,,2/1/2014,UFC 169: Barao vs Faber 2,2/1/2014,UFC 169 weigh-ins: John Lineker makes weight on second attempt
Saturday,1/25/2014,FALSE,FALSE,UFC on Fox: Henderson vs. Thomson,1/25/2014,UFC on Fox: Henderson vs. Thomson,1/25/2014,FOX UFC Saturday - Live from Chicago,1/25/2014,UFC on Fox 10 - Henderson vs. Thomson,1/25/2014,UFC on Fox: Henderson vs Thomson,1/25/2014,
Wednesday,1/15/2014,FALSE,FALSE,UFC Fight Night: Rockhold vs. Philippou,1/15/2014,UFC Fight Night: Rockhold vs. Philippou,1/15/2014,UFC FIGHT NIGHT - Rockhold vs. Philippou,1/15/2014,,1/15/2014,UFC Fight Night: Rockhold vs Philippou,1/15/2014,
Saturday,1/4/2014,FALSE,FALSE,UFC Fight Night: Saffiedine vs. Lim,1/4/2014,UFC Fight Night: Saffiedine vs. Lim,1/4/2014,UFC Fight Night - Saffiedine vs. Lim,1/4/2014,UFC Fight Night 34 - Saffiedine vs. Lim,1/4/2014,UFC Fight Night: Saffiedine vs Lim,1/4/2014,UFC Fight Night 34
Saturday,12/28/2013,FALSE,FALSE,UFC 168: Weidman vs. Silva 2,12/28/2013,UFC 168: Weidman vs. Silva 2,12/28/2013,UFC 168 - Live on Pay-Per-View,12/28/2013,,12/28/2013,UFC 168: Weidman vs Silva 2,12/28/2013,
Saturday,12/14/2013,FALSE,FALSE,UFC on Fox: Johnson vs. Benavidez 2,12/14/2013,UFC on Fox: Johnson vs. Benavidez 2,12/14/2013,UFC on FOX 9 - Live from Sacramento,12/14/2013,UFC on Fox 9 - Johnson vs. Benavidez 2,12/14/2013,UFC on Fox: Johnson vs. Benavidez 2,12/14/2013,
Friday,12/6/2013,FALSE,FALSE,UFC Fight Night: Hunt vs. Bigfoot,12/7/2013,UFC Fight Night: Hunt vs. Bigfoot,12/6/2013,UFC Fight Night - Hunt vs. Bigfoot,12/6/2013,,12/6/2013,UFC Fight Night: Hunt vs Bigfoot,12/6/2013,
Saturday,11/30/2013,FALSE,FALSE,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,11/30/2013,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,11/30/2013,TUF 18 Finale - Live on FOX Sports 1,11/30/2013,UFC - The Ultimate Fighter 18 Finale,11/30/2013,The Ultimate Fighter 18 Finale,11/30/2013,
Saturday,11/16/2013,FALSE,FALSE,UFC 167: St-Pierre vs. Hendricks,11/16/2013,UFC 167: St-Pierre vs. Hendricks,11/16/2013,UFC 167 - Live on Pay-Per-View,11/16/2013,,11/16/2013,UFC 167: St-Pierre vs Hendricks,11/16/2013,"UFC 167 weigh-in results: Georges St-Pierre, Johny Hendricks make weight"
Saturday,11/9/2013,FALSE,FALSE,UFC Fight Night 32: Belfort vs. Henderson,11/9/2013,UFC Fight Night 32 !UFC Fight Night: Belfort vs. Henderson,11/9/2013,UFC Fight Night - Belfort vs. Henderson,11/9/2013,UFC Fight Night 32 - Belfort vs. Henderson,11/9/2013,UFC Fight Night: Belfort vs Henderson,11/9/2013,
Wednesday,11/6/2013,FALSE,FALSE,UFC Fight Night 31: Fight for the Troops 3,11/6/2013,UFC Fight Night 31 !UFC: Fight for the Troops 3,11/6/2013,Fight for the Troops - UFC Fight Night,11/6/2013,,11/6/2013,UFC Fight Night: Fight for the Troops,11/6/2013,
Saturday,10/26/2013,FALSE,FALSE,UFC Fight Night 30: Machida vs. Muoz,10/26/2013,UFC Fight Night 30 !UFC Fight Night: Machida vs. Muoz,10/26/2013,UFC Fight Night - Machida vs. Munoz,10/26/2013,UFC Fight Night 30 - Machida vs. Munoz,10/26/2013,UFC Fight Night: Machida vs Munoz,10/26/2013,
