Day of Week,Date,,,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Sherdog,Event Sherdog,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting
Saturday,7/8/2017,FALSE,FALSE,UFC 213: Romero vs. Whittaker,7/8/2017,UFC 213: Romero vs. Whittaker,7/8/2017,UFC 213 - Romero vs Whittaker,7/8/2017,,7/8/2017,UFC 213: Romero vs. Whittaker,7/8/2017,
Friday,7/7/2017,FALSE,FALSE,The Ultimate Fighter: Redemption Finale,7/7/2017,The Ultimate Fighter: Redemption Finale,7/7/2017,The Ultimate Fighter Finale - Johnson vs Gaethje,7/7/2017,UFC - The Ultimate Fighter 25 Finale,7/7/2017,The Ultimate Fighter 25 Finale,7/7/2017,
Sunday,6/25/2017,FALSE,FALSE,UFC Fight Night: Chiesa vs. Lee,6/25/2017,UFC Fight Night: Chiesa vs. Lee,6/25/2017,UFC Fight Night - Chiesa vs Lee,6/25/2017,,6/25/2017,UFC Fight Night: Chiesa vs. Lee,6/25/2017,Johny Hendricks misses weight (again) at UFC Fight Night 112 weigh-ins
Saturday,6/17/2017,FALSE,FALSE,UFC Fight Night: Holm vs. Correia,6/17/2017,UFC Fight Night: Holm vs. Correia,6/17/2017,UFC Fight Night - Holm vs Correia,6/17/2017,UFC Fight Night 111 - Holm vs. Correia,6/17/2017,UFC Fight Night: Holm vs. Correia,6/17/2017,
Saturday,6/10/2017,FALSE,FALSE,UFC Fight Night: Lewis vs. Hunt,6/11/2017,UFC Fight Night: Lewis vs. Hunt,6/10/2017,UFC Fight Night - Lewis vs Hunt,6/10/2017,,6/10/2017,UFC Fight Night: Lewis vs. Hunt,6/10/2017,
Saturday,6/3/2017,FALSE,FALSE,UFC 212: Aldo vs. Holloway,6/3/2017,UFC 212: Aldo vs. Holloway,6/3/2017,UFC 212 - Aldo vs Holloway,6/3/2017,UFC 212 - Aldo vs. Holloway,6/3/2017,UFC 212: Aldo vs. Holloway,6/3/2017,
Sunday,5/28/2017,FALSE,FALSE,UFC Fight Night: Gustafsson vs. Teixeira,5/28/2017,UFC Fight Night: Gustafsson vs. Teixeira,5/28/2017,UFC Fight Night - Gustafsson vs Teixeira,5/28/2017,,5/28/2017,UFC Fight Night: Gustafsson vs. Teixeira,5/28/2017,
Saturday,5/13/2017,FALSE,FALSE,UFC 211: Miocic vs. dos Santos 2,5/13/2017,UFC 211: Miocic vs. dos Santos 2,5/13/2017,UFC 211 - Miocic vs Dos Santos 2,5/13/2017,UFC 211 - Miocic vs. Dos Santos 2,5/13/2017,UFC 211: Miocic vs. Dos Santos,5/13/2017,
Saturday,4/22/2017,FALSE,FALSE,UFC Fight Night: Swanson vs. Lobov,4/22/2017,UFC Fight Night: Swanson vs. Lobov,4/22/2017,UFC Fight Night - Swanson vs. Lobov,4/22/2017,,4/22/2017,UFC Fight Night: Swanson vs. Lobov,4/22/2017,
Saturday,4/15/2017,FALSE,FALSE,UFC on Fox: Johnson vs. Reis,4/15/2017,UFC on Fox: Johnson vs. Reis,4/15/2017,UFC Fight Night - Johnson vs Reis,4/15/2017,UFC on Fox 24 - Johnson vs. Reis,4/15/2017,UFC Fight Night: Johnson vs. Reis,4/15/2017,
Saturday,4/8/2017,FALSE,FALSE,UFC 210: Cormier vs. Johnson 2,4/8/2017,UFC 210: Cormier vs. Johnson 2,4/8/2017,UFC 210 - Cormier vs Johnson 2,4/8/2017,,4/8/2017,UFC 210: Cormier vs. Johnson 2,4/8/2017,
Saturday,3/18/2017,FALSE,FALSE,UFC Fight Night: Manuwa vs. Anderson,3/18/2017,UFC Fight Night: Manuwa vs. Anderson,3/18/2017,UFC Fight Night - Manuwa vs Anderson,3/18/2017,UFC Fight Night 107 - Manuwa vs. Anderson,3/18/2017,UFC Fight Night: Manuwa vs. Anderson,3/18/2017,
Saturday,3/11/2017,FALSE,FALSE,UFC Fight Night: Belfort vs. Gastelum,3/11/2017,UFC Fight Night: Belfort vs. Gastelum,3/11/2017,UFC Fight Night - Belfort vs Gastelum,3/11/2017,,3/11/2017,UFC Fight Night: Belfort vs. Gastelum,3/11/2017,
Saturday,3/4/2017,FALSE,FALSE,UFC 209: Woodley vs. Thompson 2,3/4/2017,UFC 209: Woodley vs. Thompson 2,3/4/2017,UFC 209 - Woodley vs Thompson 2,3/4/2017,UFC 209 - Woodley vs. Thompson 2,3/4/2017,UFC 209: Woodley vs. Thompson 2,3/4/2017,
Sunday,2/19/2017,FALSE,FALSE,UFC Fight Night: Lewis vs. Browne,2/19/2017,UFC Fight Night: Lewis vs. Browne,2/19/2017,UFC Fight Night - Lewis vs Browne,2/19/2017,,2/19/2017,UFC Fight Night: Lewis vs. Browne,2/19/2017,
Saturday,2/11/2017,FALSE,FALSE,UFC 208: Holm vs. de Randamie,2/11/2017,UFC 208: Holm vs. de Randamie,2/11/2017,UFC 208 - Holm vs de Randamie,2/11/2017,UFC 208 - Holm vs. De Randamie,2/11/2017,UFC 208: Holm vs. De Randamie,2/11/2017,
Saturday,2/4/2017,FALSE,FALSE,UFC Fight Night: Bermudez vs. Korean Zombie,2/4/2017,UFC Fight Night: Bermudez vs. Korean Zombie,2/4/2017,UFC Fight Night - Bermudez vs Korean Zombie,2/4/2017,,2/4/2017,UFC Fight Night: Bermudez vs. The Korean Zombie,2/4/2017,Bec Rawlings explains why she missed weight at UFC Fight Night 104
Saturday,1/28/2017,FALSE,FALSE,UFC on Fox: Shevchenko vs. Pea,1/28/2017,UFC on Fox: Shevchenko vs. Pea,1/28/2017,UFC Fight Night - Shevchenko vs Pena,1/28/2017,UFC on Fox 23 - Shevchenko vs. Pena,1/28/2017,UFC Fight Night: Shevchenko vs. Pena,1/28/2017,
Sunday,1/15/2017,FALSE,FALSE,UFC Fight Night: Rodrguez vs. Penn,1/15/2017,UFC Fight Night: Rodrguez vs. Penn,1/15/2017,UFC Fight Night - Rodriguez vs Penn,1/15/2017,,1/15/2017,UFC Fight Night: Rodriguez vs. Penn,1/15/2017,
Friday,12/30/2016,FALSE,FALSE,UFC 207: Nunes vs. Rousey,12/30/2016,UFC 207: Nunes vs. Rousey,12/30/2016,UFC 207 - Nunes vs Rousey,12/30/2016,UFC 207 - Nunes vs. Rousey,12/30/2016,UFC 207: Nunes vs. Rousey,12/30/2016,
Saturday,12/17/2016,FALSE,FALSE,UFC on Fox: VanZant vs. Waterson,12/17/2016,UFC on Fox: VanZant vs. Waterson,12/17/2016,UFC Fight Night - VanZant vs Waterson,12/17/2016,,12/17/2016,UFC Fight Night: VanZant vs. Waterson,12/17/2016,
Saturday,12/10/2016,FALSE,FALSE,UFC 206: Holloway vs. Pettis,12/10/2016,UFC 206: Holloway vs. Pettis,12/10/2016,UFC 206 - Holloway vs Pettis,12/10/2016,UFC 206 - Holloway vs. Pettis,12/10/2016,UFC 206: Holloway vs. Pettis,12/10/2016,
Friday,12/9/2016,FALSE,FALSE,UFC Fight Night: Lewis vs. Abdurakhimov,12/9/2016,UFC Fight Night: Lewis vs. Abdurakhimov,12/9/2016,UFC Fight Night - Lewis vs Abdurakhimov,12/9/2016,,12/9/2016,UFC Fight Night: Lewis vs. Abdurakhimov,12/9/2016,
Saturday,12/3/2016,FALSE,FALSE,The Ultimate Fighter: Tournament of Champions Finale,12/3/2016,The Ultimate Fighter: Tournament of Champions Finale,12/3/2016,The Ultimate Fighter - A Tournament of Champions Finale,12/3/2016,UFC - The Ultimate Fighter 24 Finale,12/3/2016,The Ultimate Fighter 24 Finale,12/3/2016,
Saturday,11/26/2016,FALSE,FALSE,UFC Fight Night: Whittaker vs. Brunson,11/27/2016,UFC Fight Night: Whittaker vs. Brunson,11/26/2016,UFC Fight Night - Whittaker vs Brunson,11/26/2016,,11/26/2016,UFC Fight Night: Whittaker vs. Brunson,11/26/2016,
Saturday,11/19/2016,FALSE,TRUE,UFC Fight Night: Mousasi vs. Hall 2,11/19/2016,UFC Fight Night: Mousasi vs. Hall 2,11/19/2016,UFC Fight Night - Mousasi vs Hall 2,11/19/2016,,11/19/2016,UFC Fight Night: Mousasi vs. Hall 2,11/19/2016,
Saturday,11/19/2016,TRUE,FALSE,UFC Fight Night: Bader vs. Nogueira 2,11/19/2016,UFC Fight Night: Bader vs. Nogueira 2,11/19/2016,UFC Fight Night - Bader vs Nogueira 2,11/19/2016,UFC Fight Night 100 - Bader vs. Nogueira 2,11/19/2016,UFC Fight Night: Bader vs. Nogueira,11/19/2016,
Saturday,11/12/2016,FALSE,FALSE,UFC 205: Alvarez vs. McGregor,11/12/2016,UFC 205: Alvarez vs. McGregor,11/12/2016,UFC 205 - Alvarez vs McGregor,11/12/2016,UFC 205 - Alvarez vs. McGregor,11/12/2016,UFC 205: Alvarez vs McGregor,11/12/2016,
Saturday,11/5/2016,FALSE,FALSE,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,11/5/2016,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,11/5/2016,UFC Fight Night - Dos Anjos vs Ferguson,11/5/2016,,11/5/2016,UFC Fight Night: Dos Anjos vs. Ferguson,11/5/2016,
Saturday,10/15/2016,FALSE,FALSE,UFC Fight Night: Lamas vs. Penn,10/15/2016,UFC Fight Night: Lamas vs. Penn,10/15/2016,,10/15/2016,,10/15/2016,,10/15/2016,
Saturday,10/8/2016,FALSE,FALSE,UFC 204: Bisping vs. Henderson 2,10/8/2016,UFC 204: Bisping vs. Henderson 2,10/8/2016,UFC 204 - Bisping vs Henderson,10/8/2016,UFC 204 - Bisping vs. Henderson 2,10/8/2016,UFC 204: Bisping vs. Henderson,10/8/2016,
Saturday,10/1/2016,FALSE,FALSE,UFC Fight Night: Lineker vs. Dodson,10/1/2016,UFC Fight Night: Lineker vs. Dodson,10/1/2016,UFC Fight Night - Lineker vs Dodson,10/1/2016,,10/1/2016,UFC Fight Night: Lineker vs. Dodson,10/1/2016,
Saturday,9/24/2016,FALSE,FALSE,UFC Fight Night: Cyborg vs. Lansberg,9/24/2016,UFC Fight Night: Cyborg vs. Lansberg,9/24/2016,UFC Fight Night - Cyborg vs Lansberg,9/24/2016,UFC Fight Night 95 - Cyborg vs. Lansberg,9/24/2016,UFC Fight Night: Cyborg vs. Lansberg,9/24/2016,
Saturday,9/17/2016,FALSE,FALSE,UFC Fight Night: Poirier vs. Johnson,9/17/2016,UFC Fight Night: Poirier vs. Johnson,9/17/2016,UFC Fight Night - Poirier vs Johnson,9/17/2016,,9/17/2016,UFC Fight Night: Poirier vs. Johnson,9/17/2016,
Saturday,9/10/2016,FALSE,FALSE,UFC 203: Miocic vs. Overeem,9/10/2016,UFC 203: Miocic vs. Overeem,9/10/2016,UFC 203 - Miocic vs. Overeem,9/10/2016,UFC 203 - Miocic vs. Overeem,9/10/2016,UFC 203: Miocic vs. Overeem,9/10/2016,
Saturday,9/3/2016,FALSE,FALSE,UFC Fight Night: Arlovski vs. Barnett,9/3/2016,UFC Fight Night: Arlovski vs. Barnett,9/3/2016,UFC Fight Night - Arlovski vs Barnett,9/3/2016,,9/3/2016,UFC Fight Night: Arlovski vs. Barnett,9/3/2016,UFC Fight Night 93
Saturday,8/27/2016,FALSE,FALSE,UFC on Fox: Maia vs. Condit,8/27/2016,UFC on Fox: Maia vs. Condit,8/27/2016,UFC Fight Night - Maia vs Condit,8/27/2016,UFC on Fox 21 - Maia vs. Condit,8/27/2016,UFC Fight Night: Maia vs. Condit,8/27/2016,
Saturday,8/20/2016,FALSE,FALSE,UFC 202: Diaz vs. McGregor 2,8/20/2016,UFC 202: Diaz vs. McGregor 2,8/20/2016,UFC 202 - Diaz vs McGregor 2,8/20/2016,,8/20/2016,UFC 202: Diaz vs. McGregor 2,8/20/2016,
Saturday,8/6/2016,FALSE,FALSE,UFC Fight Night: Rodrguez vs. Caceres,8/6/2016,UFC Fight Night: Rodrguez vs. Caceres,8/6/2016,UFC Fight Night - Rodriguez vs Caceres,8/6/2016,UFC Fight Night 92 - Rodriguez vs. Caceres,8/6/2016,UFC Fight Night: Rodriguez vs. Caceres,8/6/2016,
Saturday,7/30/2016,FALSE,FALSE,UFC 201: Lawler vs. Woodley,7/30/2016,UFC 201: Lawler vs. Woodley,7/30/2016,UFC 201 - Lawler vs. Woodley,7/30/2016,,7/30/2016,UFC 201: Lawler vs. Woodley,7/30/2016,
Saturday,7/23/2016,FALSE,FALSE,UFC on Fox: Holm vs. Shevchenko,7/23/2016,UFC on Fox: Holm vs. Shevchenko,7/23/2016,UFC Fight Night - Holm vs Shevchenko,7/23/2016,UFC on Fox 20 - Holm vs. Shevchenko,7/23/2016,UFC Fight Night: Holm vs. Shevchenko,7/23/2016,
Wednesday,7/13/2016,FALSE,FALSE,UFC Fight Night: McDonald vs. Lineker,7/13/2016,UFC Fight Night: McDonald vs. Lineker,7/13/2016,UFC Fight Night - McDonald vs Lineker,7/13/2016,,7/13/2016,UFC Fight Night: McDonald vs. Lineker,7/13/2016,
Saturday,7/9/2016,FALSE,FALSE,UFC 200: Tate vs. Nunes,7/9/2016,UFC 200: Tate vs. Nunes,7/9/2016,UFC 200 - Tate vs Nunes,7/9/2016,UFC 200 - Tate vs. Nunes,7/9/2016,UFC 200: Tate vs Nunes,7/9/2016,
Friday,7/8/2016,FALSE,FALSE,The Ultimate Fighter: Team Joanna vs. Team Cludia Finale,7/8/2016,The Ultimate Fighter: Team Joanna vs. Team Cludia Finale,7/8/2016,The Ultimate Fighter Finale - Team Joanna vs. Team Claudia,7/8/2016,,7/8/2016,The Ultimate Fighter 23 Finale,7/8/2016,
Thursday,7/7/2016,FALSE,FALSE,UFC Fight Night: dos Anjos vs. Alvarez,7/7/2016,UFC Fight Night: dos Anjos vs. Alvarez,7/7/2016,UFC Fight Night - Dos Anjos vs. Alvarez,7/7/2016,UFC Fight Night 90 - Dos Anjos vs. Alvarez,7/7/2016,UFC Fight Night: Dos Anjos vs. Alvarez,7/7/2016,
Saturday,6/18/2016,FALSE,FALSE,UFC Fight Night: MacDonald vs. Thompson,6/18/2016,UFC Fight Night: MacDonald vs. Thompson,6/18/2016,UFC Fight Night - MacDonald vs. Thompson,6/18/2016,,6/18/2016,UFC Fight Night: MacDonald vs Thompson,6/18/2016,
Saturday,6/4/2016,FALSE,FALSE,UFC 199: Rockhold vs. Bisping 2,6/4/2016,UFC 199: Rockhold vs. Bisping 2,6/4/2016,UFC 199 - Rockhold vs. Bisping 2,6/4/2016,UFC 199 - Rockhold vs. Bisping 2,6/4/2016,UFC 199: Rockhold vs. Bisping 2,6/4/2016,
