Day of Week,Date,d1,d2,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Sherdog,Event Sherdog,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting
Saturday,2015-11-28,False,False,UFC Fight Night: Henderson vs. Masvidal,11/28/2015,UFC Fight Night: Henderson vs. Masvidal,11/28/2015,UFC Fight Night - Henderson vs Masvidal,11/28/2015,,11/28/2015,UFC Fight Night: Henderson vs Masvidal,11/28/2015,
Saturday,2015-11-21,False,False,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,11/21/2015,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,11/21/2015,UFC Fight Night - Magny vs Gastelum,11/21/2015,UFC Fight Night 78 - Magny vs. Gastelum,11/21/2015,UFC Fight Night 78: Magny vs Gastelum,11/21/2015,UFC Fight Night 78
Saturday,2015-11-14,False,False,UFC 193: Rousey vs. Holm,11/15/2015,UFC 193: Rousey vs. Holm,11/14/2015,UFC 193 - Rousey vs Holm,11/14/2015,,11/14/2015,UFC 193: Rousey vs Holm,11/14/2015,UFC 193
Saturday,2015-11-07,False,False,UFC Fight Night: Belfort vs. Henderson 3,11/7/2015,UFC Fight Night: Belfort vs. Henderson 3,11/7/2015,UFC Fight Night - Belfort vs Henderson,11/7/2015,UFC Fight Night 77 - Belfort vs. Henderson 3,11/7/2015,UFC Fight Night: Belfort vs Henderson,11/7/2015,UFC Fight Night 77
Saturday,2015-10-24,False,False,UFC Fight Night: Holohan vs. Smolka,10/24/2015,UFC Fight Night: Holohan vs. Smolka,10/24/2015,UFC Fight Night - Holohan vs. Smolka,10/24/2015,,10/24/2015,UFC Fight Night: Holohan vs Smolka,10/24/2015,UFC Fight Night 76
Saturday,2015-10-03,False,False,UFC 192: Cormier vs. Gustafsson,10/3/2015,UFC 192: Cormier vs. Gustafsson,10/3/2015,UFC 192 - Cormier vs. Gustafsson,10/3/2015,UFC 192 - Cormier vs. Gustafsson,10/3/2015,UFC 192: Cormier vs Gustafsson,10/3/2015,UFC 192
Saturday,2015-09-26,False,False,UFC Fight Night: Barnett vs. Nelson,9/27/2015,UFC Fight Night: Barnett vs. Nelson,9/26/2015,UFC Fight Night - Barnett vs. Nelson,9/26/2015,,9/26/2015,UFC Fight Night: Barnett vs Nelson,9/26/2015,UFC Fight Night 75
Saturday,2015-09-05,False,False,UFC 191: Johnson vs. Dodson 2,9/5/2015,UFC 191: Johnson vs. Dodson 2,9/5/2015,UFC 191 - Johnson vs. Dodson 2,9/5/2015,UFC 191 - Johnson vs. Dodson 2,9/5/2015,UFC 191: Johnson vs Dodson 2,9/5/2015,UFC 191
Sunday,2015-08-23,False,False,UFC Fight Night: Holloway vs. Oliveira,8/23/2015,UFC Fight Night: Holloway vs. Oliveira,8/23/2015,UFC Fight Night - Holloway vs. Oliveira,8/23/2015,,8/23/2015,UFC Fight Night: Holloway vs Oliveira,8/23/2015, UFC Fight Night 74
Saturday,2015-08-08,False,False,UFC Fight Night: Teixeira vs. Saint Preux,8/8/2015,UFC Fight Night: Teixeira vs. Saint Preux,8/8/2015,UFC Fight Night - Teixeira vs. Saint Preux,8/8/2015,UFC Fight Night 73 - Teixeira vs. St. Preux,8/8/2015,UFC Fight Night: Teixeira vs Saint Preux,8/8/2015,UFC Fight Night 73
Saturday,2015-08-01,False,False,UFC 190: Rousey vs. Correia,8/1/2015,UFC 190: Rousey vs. Correia,8/1/2015,UFC 190 - Rousey vs. Correia,8/1/2015,,8/1/2015,UFC 190: Rousey vs Correia,8/1/2015,UFC 190
Saturday,2015-07-25,False,False,UFC on Fox: Dillashaw vs. Baro 2,7/25/2015,UFC on Fox: Dillashaw vs. Baro 2,7/25/2015,UFC Fight Night - Dillashaw vs. Barao 2,7/25/2015,UFC on Fox 16 - Dillashaw vs. Barao 2,7/25/2015,UFC on Fox: Dillashaw vs. Barao II,7/25/2015,UFC on FOX 16
Saturday,2015-07-18,False,False,UFC Fight Night: Bisping vs. Leites,7/18/2015,UFC Fight Night: Bisping vs. Leites,7/18/2015,UFC Fight Night - Bisping vs. Leites,7/18/2015,,7/18/2015,UFC Fight Night: Bisping vs Leites,7/18/2015,UFC Fight Night 72
Wednesday,2015-07-15,False,False,UFC Fight Night: Mir vs. Duffee,7/15/2015,UFC Fight Night: Mir vs. Duffee,7/15/2015,UFC Fight Night - Mir vs. Duffee,7/15/2015,UFC Fight Night 71 - Mir vs. Duffee,7/15/2015,UFC Fight Night: Mir vs Duffee,7/15/2015,UFC Fight Night 71
Sunday,2015-07-12,False,False,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,7/12/2015,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,7/12/2015,The Ultimate Fighter Finale - American Top Team vs. Blackzilians,7/12/2015,,7/12/2015,The Ultimate Fighter 21 Finale,7/12/2015,TUF 21 Finale
Saturday,2015-07-11,False,False,UFC 189: Mendes vs. McGregor,7/11/2015,UFC 189: Mendes vs. McGregor,7/11/2015,UFC 189 - Mendes vs. McGregor,7/11/2015,UFC 189 - Mendes vs. McGregor,7/11/2015,UFC 189: Mendes vs McGregor,7/11/2015,UFC 189
Saturday,2015-06-27,False,False,UFC Fight Night: Machida vs. Romero,6/27/2015,UFC Fight Night: Machida vs. Romero,6/27/2015,UFC Fight Night - Machida vs. Romero,6/27/2015,,6/27/2015,UFC Fight Night: Machida vs Romero,6/27/2015,UFC Fight Night 70
Saturday,2015-06-20,False,False,UFC Fight Night: Jdrzejczyk vs. Penne,6/20/2015,UFC Fight Night: Jdrzejczyk vs. Penne,6/20/2015,UFC Fight Night - Jedrzejczyk vs. Penne,6/20/2015,UFC Fight Night 69 - Jedrzejczyk vs. Penne,6/20/2015,UFC Fight Night: Jedrzejczyk vs Penne,6/20/2015,UFC Fight Night 69
Saturday,2015-06-13,False,False,UFC 188: Velasquez vs. Werdum,6/13/2015,UFC 188: Velasquez vs. Werdum,6/13/2015,UFC 188 - Velasquez vs. Werdum,6/13/2015,,6/13/2015,UFC 188: Velasquez vs Werdum,6/13/2015,UFC 188
Saturday,2015-06-06,False,False,UFC Fight Night: Boetsch vs. Henderson,6/6/2015,UFC Fight Night: Boetsch vs. Henderson,6/6/2015,UFC Fight Night - Boetsch vs. Henderson,6/6/2015,UFC Fight Night 68 - Boetsch vs. Henderson,6/6/2015,UFC Fight Night: Boetsch vs Henderson,6/6/2015,UFC Fight Night 68
Saturday,2015-05-30,False,False,UFC Fight Night: Condit vs. Alves,5/30/2015,UFC Fight Night: Condit vs. Alves,5/30/2015,UFC Fight Night - Condit vs. Alves,5/30/2015,,5/30/2015,UFC Fight Night: Condit vs Alves,5/30/2015,UFC Fight Night 67
Saturday,2015-05-23,False,False,UFC 187: Johnson vs. Cormier,5/23/2015,UFC 187: Johnson vs. Cormier,5/23/2015,UFC 187 - Johnson vs. Cormier,5/23/2015,UFC 187 - Johnson vs. Cormier,5/23/2015,UFC 187: Johnson vs Cormier,5/23/2015,UFC 187
Saturday,2015-05-16,False,False,UFC Fight Night: Edgar vs. Faber,5/16/2015,UFC Fight Night: Edgar vs. Faber,5/16/2015,UFC Fight Night - Edgar vs. Faber,5/16/2015,,5/16/2015,UFC Fight Night: Edgar vs Faber,5/16/2015,UFC Fight Night 66
Saturday,2015-05-09,False,False,UFC Fight Night: Miocic vs. Hunt,5/10/2015,UFC Fight Night: Miocic vs. Hunt,5/9/2015,UFC Fight Night - Miocic vs. Hunt,5/10/2015,UFC Fight Night 65 - Miocic vs. Hunt,5/9/2015,UFC Fight Night: Miocic vs Hunt,5/9/2015,UFC Fight Night 65
Saturday,2015-04-25,False,False,UFC 186: Johnson vs. Horiguchi,4/25/2015,UFC 186: Johnson vs. Horiguchi,4/25/2015,UFC 186 - Johnson vs. Horiguchi,4/25/2015,,4/25/2015,UFC 186: Johnson vs Horiguchi,4/25/2015,UFC 186
Saturday,2015-04-18,False,False,UFC on Fox: Machida vs. Rockhold,4/18/2015,UFC on Fox: Machida vs. Rockhold,4/18/2015,UFC Fight Night - Machida vs. Rockhold,4/18/2015,UFC on Fox 15 - Machida vs. Rockhold,4/18/2015,UFC Fight Night: Machida vs Rockhold,4/18/2015,UFC on FOX 15
Saturday,2015-04-11,False,False,UFC Fight Night: Gonzaga vs. Cro Cop 2,4/11/2015,UFC Fight Night: Gonzaga vs. Cro Cop 2,4/11/2015,UFC Fight Night - Gonzaga vs. Cro Cop 2,4/11/2015,,4/11/2015,UFC Fight Night: Gonzaga vs Cro Cop 2,4/11/2015,UFC Fight Night 64
Saturday,2015-04-04,False,False,UFC Fight Night: Mendes vs. Lamas,4/4/2015,UFC Fight Night: Mendes vs. Lamas,4/4/2015,UFC Fight Night - Mendes vs. Lamas,4/4/2015,UFC Fight Night 63 - Mendes vs. Lamas,4/4/2015,UFC Fight Night: Mendes vs Lamas,4/4/2015,UFC Fight Night 63
Saturday,2015-03-21,False,False,UFC Fight Night: Maia vs. LaFlare,3/21/2015,UFC Fight Night: Maia vs. LaFlare,3/21/2015,UFC Fight Night - Maia vs. LaFlare,3/21/2015,,3/21/2015,UFC Fight Night: Maia vs LaFlare,3/21/2015,UFC Fight Night 62
Saturday,2015-03-14,False,False,UFC 185: Pettis vs. dos Anjos,3/14/2015,UFC 185: Pettis vs. dos Anjos,3/14/2015,UFC 185 - Pettis vs. Dos Anjos,3/14/2015,UFC 185 - Pettis vs. Dos Anjos,3/14/2015,UFC 185: Pettis vs Dos Anjos,3/14/2015,UFC 185
Saturday,2015-02-28,False,False,UFC 184: Rousey vs. Zingano,2/28/2015,UFC 184: Rousey vs. Zingano,2/28/2015,UFC 184 - Rousey vs. Zingano,2/28/2015,,2/28/2015,UFC 184: Rousey vs Zingano,2/28/2015,UFC 184
Sunday,2015-02-22,False,False,UFC Fight Night: Bigfoot vs. Mir,2/22/2015,UFC Fight Night: Bigfoot vs. Mir,2/22/2015,UFC Fight Night - Bigfoot vs. Mir,2/22/2015,UFC Fight Night 61 - Bigfoot vs. Mir,2/22/2015,UFC Fight Night: Bigfoot vs Mir,2/22/2015,UFC Fight Night 61
Saturday,2015-02-14,False,False,UFC Fight Night: Henderson vs. Thatch,2/14/2015,UFC Fight Night: Henderson vs. Thatch,2/14/2015,UFC Fight Night - Henderson vs. Thatch,2/14/2015,,2/14/2015,UFC Fight Night: Henderson vs Thatch,2/14/2015,UFC Fight Night 60
Saturday,2015-01-31,False,False,UFC 183: Silva vs. Diaz,1/31/2015,UFC 183: Silva vs. Diaz,1/31/2015,UFC 183 - Silva vs. Diaz,1/31/2015,UFC 183 - Silva vs. Diaz,1/31/2015,UFC 183: Silva vs Diaz,1/31/2015,UFC 183
Saturday,2015-01-24,False,False,UFC on Fox: Gustafsson vs. Johnson,1/24/2015,UFC on Fox: Gustafsson vs. Johnson,1/24/2015,UFC Fight Night - Gustafsson vs. Johnson,1/24/2015,,1/24/2015,UFC Fight Night: Gustafsson vs Johnson,1/24/2015,UFC on FOX 14
Sunday,2015-01-18,False,False,UFC Fight Night: McGregor vs. Siver,1/18/2015,UFC Fight Night: McGregor vs. Siver,1/18/2015,UFC Fight Night - McGregor vs. Siver,1/18/2015,UFC Fight Night 59 - McGregor vs. Siver,1/18/2015,UFC Fight Night: McGregor vs Siver,1/18/2015, UFC Fight Night 59
Saturday,2015-01-03,False,False,UFC 182: Jones vs. Cormier,1/3/2015,UFC 182: Jones vs. Cormier,1/3/2015,UFC 182 - Jones vs. Cormier,1/3/2015,,1/3/2015,UFC 182: Jones vs Cormier,1/3/2015,UFC 182
Saturday,2014-12-20,False,False,UFC Fight Night: Machida vs. Dollaway,12/20/2014,UFC Fight Night: Machida vs. Dollaway,12/20/2014,UFC Fight Night - Machida vs. Dollaway,12/20/2014,UFC Fight Night 58 - Machida vs. Dollaway,12/20/2014,UFC Fight Night: Machida vs Dollaway,12/20/2014,UFC Fight Night 58
Saturday,2014-12-13,False,False,UFC on Fox: dos Santos vs. Miocic,12/13/2014,UFC on Fox: dos Santos vs. Miocic,12/13/2014,UFC Fight Night - Dos Santos vs. Miocic,12/13/2014,,12/13/2014,UFC Fight Night: Dos Santos vs Miocic,12/13/2014,UFC on FOX 13
Friday,2014-12-12,False,False,The Ultimate Fighter: A Champion Will Be Crowned Finale,12/12/2014,The Ultimate Fighter: A Champion Will Be Crowned Finale,12/12/2014,The Ultimate Fighter Finale,12/12/2014,UFC - The Ultimate Fighter 20 Finale,12/12/2014,The Ultimate Fighter 20 Finale,12/12/2014,TUF 20 Finale
Saturday,2014-12-06,False,False,UFC 181: Hendricks vs. Lawler II,12/6/2014,UFC 181: Hendricks vs. Lawler II,12/6/2014,UFC 181 - Hendricks vs. Lawler II,12/6/2014,,12/6/2014,UFC 181: Hendricks vs Lawler II,12/6/2014,UFC 181
Saturday,2014-11-22,False,False,UFC Fight Night: Edgar vs. Swanson,11/22/2014,UFC Fight Night: Edgar vs. Swanson,11/22/2014,UFC Fight Night - Edgar vs. Swanson,11/22/2014,UFC Fight Night 57 - Edgar vs. Swanson,11/22/2014,UFC Fight Night: Edgar vs Swanson,11/22/2014,UFC Fight Night 57
,2014-11-15,False,False,UFC 180: Werdum vs. Hunt,11/15/2014,UFC 180: Werdum vs. Hunt,11/15/2014,UFC 180 - Werdum vs. Hunt,11/15/2014,,11/15/2014,UFC 180: Werdum vs Hunt,11/15/2014,UFC 180
Saturday,2014-11-08,False,True,UFC Fight Night: Shogun vs. Saint Preux,11/8/2014,UFC Fight Night: Shogun vs. Saint Preux,11/8/2014,UFC Fight Night - Shogun vs. Saint Preux,11/8/2014,UFC Fight Night 56 - Shogun vs. St. Preux,11/8/2014,UFC Fight Night 56: Shogun vs Saint Preux,11/8/2014,UFC Fight Night 56
Friday,2014-11-07,False,False,UFC Fight Night: Rockhold vs Bisping,11/8/2014,UFC Fight Night: Rockhold vs. Bisping,11/7/2014,UFC Fight Night - Rockhold vs. Bisping,11/7/2014,,11/7/2014,UFC Fight Night: Rockhold vs Bisping,11/7/2014,UFC Fight Night 55
Saturday,2014-10-25,False,False,UFC 179: Aldo vs. Mendes 2,10/25/2014,UFC 179: Aldo vs. Mendes 2,10/25/2014,UFC 179 - Aldo vs. Mendes 2,10/25/2014,UFC 179 - Aldo vs. Mendes 2,10/25/2014,UFC 179: Aldo vs Mendes 2,10/25/2014,UFC 179
Saturday,2014-10-04,True,True,UFC Fight Night: MacDonald vs. Saffiedine,10/4/2014,UFC Fight Night: MacDonald vs. Saffiedine,10/4/2014,UFC Fight Night - MacDonald vs. Saffiedine,,,10/4/2014,UFC Fight Night: MacDonald vs Saffiedine,10/4/2014,UFC Fight Night 54
Saturday,2014-10-04,True,True,UFC Fight Night: Nelson vs. Story,10/4/2014,UFC Fight Night: Nelson vs. Story,10/4/2014,UFC Fight Night - Nelson vs. Story,10/4/2014,UFC Fight Night 53 - Nelson vs. Story,10/4/2014,UFC Fight Night: Nelson vs Story,10/4/2014,UFC Fight Night 53
Saturday,2014-09-27,False,False,UFC 178: Johnson vs. Cariaso,9/27/2014,UFC 178: Johnson vs. Cariaso,9/27/2014,UFC 178 - Johnson vs. Cariaso,9/27/2014,,9/27/2014,UFC 178: Johnson vs Cariaso,9/27/2014,UFC 178
Saturday,2014-09-20,False,False,UFC Fight Night: Hunt vs. Nelson,9/20/2014,UFC Fight Night: Hunt vs. Nelson,9/20/2014,UFC Fight Night - Hunt vs. Nelson,9/20/2014,UFC Fight Night 52 - Hunt vs. Nelson,9/20/2014,UFC Fight Night: Hunt vs Nelson,9/20/2014,"UFC Fight Night 52 weigh-in results: Mark Hunt, Roy Nelson make weight"
,2014-09-13,False,False,UFC Fight Night: Bigfoot vs. Arlovski,9/13/2014,UFC Fight Night: Bigfoot vs. Arlovski,9/13/2014,UFC Fight Night - Bigfoot vs. Arlovski,9/13/2014,,9/13/2014,UFC Fight Night: Silva vs Arlovski,9/13/2014,UFC Fight Night 51
Friday,2014-09-05,False,False,UFC Fight Night: Jacar vs. Mousasi,9/5/2014,UFC Fight Night: Jacar vs. Mousasi,9/5/2014,UFC Fight Night - Jacare vs. Mousasi,9/5/2014,UFC Fight Night 50 - Jacare vs. Mousasi 2,9/5/2014,UFC Fight Night: Souza vs Mousasi,9/5/2014,UFC Fight Night 50
Saturday,2014-08-30,False,False,UFC 177: Dillashaw vs. Soto,8/30/2014,UFC 177: Dillashaw vs. Soto,8/30/2014,UFC 177 - Dillashaw vs. Soto,8/30/2014,,8/30/2014,UFC 177: Dillashaw vs Soto,8/30/2014,UFC 177
Saturday,2014-08-23,True,False,UFC Fight Night: Henderson vs. Dos Anjos,8/23/2014,UFC Fight Night: Henderson vs. dos Anjos,8/23/2014,UFC Fight Night - Henderson vs. Dos Anjos,8/23/2014,UFC Fight Night 49 - Henderson vs. dos Anjos,8/23/2014,UFC Fight Night: Henderson vs Dos Anjos,8/23/2014,UFC Fight Night 49
Saturday,2014-08-23,False,True,UFC Fight Night: Bisping vs. Le,8/23/2014,UFC Fight Night: Bisping vs. Le,8/23/2014,UFC Fight Night - Bisping vs. Le,,,8/23/2014,UFC Fight Night: Bisping vs Le,8/23/2014,UFC Fight Night 48
Saturday,2014-08-16,False,False,UFC Fight Night: Bader vs. Saint Preux,8/16/2014,UFC Fight Night: Bader vs. Saint Preux,8/16/2014,UFC Fight Night - Bader vs. Saint Preux,8/16/2014,UFC Fight Night 47 - Bader vs. St. Preux,8/16/2014,UFC Fight Night: Bader vs Saint Preux,8/16/2014,UFC Fight Night 47
Saturday,2014-08-02,False,False,UFC 176: Aldo vs. Mendes II,8/2/2014,UFC 176: Aldo vs. Mendes II,8/2/2014,,8/2/2014,,8/2/2014,,8/2/2014,
Saturday,2014-07-26,False,False,UFC on Fox: Lawler vs. Brown,7/26/2014,UFC on Fox: Lawler vs. Brown,7/26/2014,UFC Fight Night - Lawler vs. Brown,7/26/2014,UFC on Fox 12 - Lawler vs. Brown,7/26/2014,UFC on Fox: Lawler vs Brown,7/26/2014,UFC on FOX 12
Saturday,2014-07-19,False,False,UFC Fight Night: McGregor vs. Brandao,7/19/2014,UFC Fight Night: McGregor vs. Brandao,7/19/2014,UFC Fight Night - McGregor vs. Brandao,7/19/2014,,7/19/2014,UFC Fight Night: McGregor vs Brandao,7/19/2014,UFC Fight Night 46
Wednesday,2014-07-16,False,False,UFC Fight Night: Cerrone vs. Miller,7/16/2014,UFC Fight Night: Cerrone vs. Miller,7/16/2014,UFC Fight Night - Cerrone vs. Miller,7/16/2014,UFC Fight Night 45 - Cerrone vs. Miller,7/16/2014,UFC Fight Night: Cerrone vs Miller,7/16/2014,UFC Fight Night 45
Sunday,2014-07-06,False,False,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,7/6/2014,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,7/6/2014,The Ultimate Fighter Finale - Edgar vs. Penn,7/6/2014,,7/6/2014,The Ultimate Fighter 19 Finale,7/6/2014,TUF 19 Finale
Saturday,2014-07-05,False,False,UFC 175: Weidman vs. Machida,7/5/2014,UFC 175: Weidman vs. Machida,7/5/2014,UFC 175 - Weidman vs. Machida,7/5/2014,UFC 175 - Weidman vs. Machida,7/5/2014,UFC 175: Weidman vs Machida,7/5/2014,UFC 175
Saturday,2014-06-28,True,True,UFC Fight Night: Swanson vs. Stephens,6/28/2014,UFC Fight Night: Swanson vs. Stephens,6/28/2014,UFC Fight Night - Swanson vs. Stephens,,,6/28/2014,UFC Fight Night: Swanson vs Stephens,6/28/2014,UFC Fight Night 44
Saturday,2014-06-28,True,True,UFC Fight Night: Te Huna vs. Marquardt,6/28/2014,UFC Fight Night: Te Huna vs. Marquardt,6/28/2014,UFC Fight Night - Te Huna vs. Marquardt,6/28/2014,UFC Fight Night 43 - Te Huna vs. Marquardt,6/28/2014,UFC Fight Night: Te Huna vs Marquardt,6/28/2014,UFC Fight Night 43
Saturday,2014-06-14,False,False,UFC 174: Johnson vs. Bagautinov,6/14/2014,UFC 174: Johnson vs. Bagautinov,6/14/2014,UFC 174 - Johnson vs. Bagautinov,6/14/2014,,6/14/2014,UFC 174: Johnson vs Bagautinov,6/14/2014,UFC 174
Saturday,2014-06-07,False,False,UFC Fight Night: Henderson vs. Khabilov,6/7/2014,UFC Fight Night: Henderson vs. Khabilov,6/7/2014,UFC Fight Night - Henderson vs. Khabilov,6/7/2014,UFC Fight Night 42 - Henderson vs. Khabilov,6/7/2014,UFC Fight Night: Henderson vs Khabilov,6/7/2014,UFC Fight Night 42
Saturday,2014-05-31,True,True,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,5/31/2014,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,5/31/2014,UFC Fight Night - Miocic vs. Maldonado,5/31/2014,UFC - The Ultimate Fighter Brazil 3 Finale,5/31/2014,TUF Brazil Finale: Miocic vs Maldonado,5/31/2014,TUF: Brazil 3
Saturday,2014-05-31,True,True,UFC Fight Night: Muoz vs. Mousasi,5/31/2014,UFC Fight Night: Muoz vs. Mousasi,5/31/2014,UFC Fight Night - Munoz vs. Mousasi,,,5/31/2014,UFC Fight Night: Munoz vs Mousasi,5/31/2014,UFC Fight Night 41
Saturday,2014-05-24,False,False,UFC 173: Baro vs. Dillashaw,5/24/2014,UFC 173: Baro vs. Dillashaw,5/24/2014,UFC 173 - Barao vs. Dillashaw,5/24/2014,,5/24/2014,UFC 173: Barao vs Dillashaw,5/24/2014,UFC 173
Saturday,2014-05-10,False,False,UFC Fight Night: Brown vs. Silva,5/10/2014,UFC Fight Night: Brown vs. Silva,5/10/2014,UFC Fight Night - Brown vs. Silva,5/10/2014,UFC Fight Night 40 - Brown vs. Silva,5/10/2014,UFC Fight Night: Brown vs Silva,5/10/2014,UFC Fight Night 40
Saturday,2014-04-26,False,False,UFC 172: Jones vs. Teixeira,4/26/2014,UFC 172: Jones vs. Teixeira,4/26/2014,UFC 172 - Jones vs. Teixeira,4/26/2014,,4/26/2014,UFC 172: Jones vs Teixeira,4/26/2014,UFC 172
Saturday,2014-04-19,False,False,UFC on Fox: Werdum vs. Browne,4/19/2014,UFC on Fox: Werdum vs. Browne,4/19/2014,FOX UFC Saturday - Werdum vs. Browne,4/19/2014,UFC on Fox 11 - Werdum vs. Browne,4/19/2014,UFC on Fox: Werdum vs Browne,4/19/2014,UFC on FOX 11
Wednesday,2014-04-16,False,False,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,4/16/2014,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,4/16/2014,TUF Nations Finale - Bisping vs. Kennedy,4/16/2014,,4/16/2014,UFC Fight Night: Bisping vs Kennedy,4/16/2014,TUF Nations Finale
Friday,2014-04-11,False,False,UFC Fight Night: Nogueira vs. Nelson,4/11/2014,UFC Fight Night: Nogueira vs. Nelson,4/11/2014,UFC Fight Night - Nogueira vs. Nelson,4/11/2014,UFC Fight Night 39 - Nogueira vs. Nelson,4/11/2014,UFC Fight Night: Minotauro vs Nelson,4/11/2014,UFC Fight Night 39
Sunday,2014-03-23,False,False,UFC Fight Night: Shogun vs. Henderson 2,3/23/2014,UFC Fight Night: Shogun vs. Henderson 2,3/23/2014,UFC Fight Night - Shogun vs. Henderson 2,3/23/2014,,3/23/2014,UFC Fight Night: Shogun vs Henderson,3/23/2014,UFC Fight Night 38
Saturday,2014-03-15,True,False,UFC 171: Hendricks vs. Lawler,3/15/2014,UFC 171: Hendricks vs. Lawler,3/15/2014,UFC 171 - Hendricks vs. Lawler,3/15/2014,UFC 171 - Hendricks vs. Lawler,3/15/2014,UFC 171: Hendricks vs Lawler,3/15/2014,UFC 171
Saturday,2014-03-08,False,False,UFC Fight Night: Gustafsson vs. Manuwa,3/8/2014,UFC Fight Night: Gustafsson vs. Manuwa,3/8/2014,UFC Fight Night - Gustafsson vs. Manuwa,3/8/2014,,3/8/2014,UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,UFC Fight Night 37
Saturday,2014-03-01,False,False,The Ultimate Fighter China Finale: Kim vs. Hathaway,3/1/2014,The Ultimate Fighter China Finale: Kim vs. Hathaway,3/1/2014,UFC Fight Night - Kim vs. Hathaway,3/1/2014,UFC - The Ultimate Fighter China Finale,3/1/2014,UFC Fight Night: Kim vs Hathaway,3/1/2014,TUF: China Finale
Saturday,2014-02-22,False,False,UFC 170: Rousey vs. McMann,2/22/2014,UFC 170: Rousey vs. McMann,2/22/2014,UFC 170 - Rousey vs. McMann,2/22/2014,,2/22/2014,UFC 170: Rousey vs McMann,2/22/2014,"UFC 170 weigh-in results: Ronda Rousey, Sara McMann and all fighters make weight"
Saturday,2014-02-15,False,False,UFC Fight Night: Machida vs. Mousasi,2/15/2014,UFC Fight Night: Machida vs. Mousasi,2/15/2014,UFC Fight Night - Machida vs. Mousasi,2/15/2014,UFC Fight Night 36 - Machida vs. Mousasi,2/15/2014,UFC Fight Night: Machida vs Mousasi,2/15/2014,UFC Fight Night 36
Saturday,2014-02-01,False,False,UFC 169: Baro vs. Faber II,2/1/2014,UFC 169: Baro vs. Faber II,2/1/2014,UFC 169 - Live on Pay-Per-View,2/1/2014,,2/1/2014,UFC 169: Barao vs Faber 2,2/1/2014,UFC 169 weigh-ins: John Lineker makes weight on second attempt
Saturday,2014-01-25,False,False,UFC on Fox: Henderson vs. Thomson,1/25/2014,UFC on Fox: Henderson vs. Thomson,1/25/2014,FOX UFC Saturday - Live from Chicago,1/25/2014,UFC on Fox 10 - Henderson vs. Thomson,1/25/2014,UFC on Fox: Henderson vs Thomson,1/25/2014,"UFC on FOX 10 weigh-in results: Benson Henderson, Josh Thomson make weight"
Wednesday,2014-01-15,False,False,UFC Fight Night: Rockhold vs. Philippou,1/15/2014,UFC Fight Night: Rockhold vs. Philippou,1/15/2014,UFC FIGHT NIGHT - Rockhold vs. Philippou,1/15/2014,,1/15/2014,UFC Fight Night: Rockhold vs Philippou,1/15/2014,UFC Fight Night 35
Saturday,2014-01-04,False,False,UFC Fight Night: Saffiedine vs. Lim,1/4/2014,UFC Fight Night: Saffiedine vs. Lim,1/4/2014,UFC Fight Night - Saffiedine vs. Lim,1/4/2014,UFC Fight Night 34 - Saffiedine vs. Lim,1/4/2014,UFC Fight Night: Saffiedine vs Lim,1/4/2014,UFC Fight Night 34
Saturday,2013-12-28,False,False,UFC 168: Weidman vs. Silva 2,12/28/2013,UFC 168: Weidman vs. Silva 2,12/28/2013,UFC 168 - Live on Pay-Per-View,12/28/2013,,12/28/2013,UFC 168: Weidman vs Silva 2,12/28/2013,"UFC 168 weigh-in results: Anderson Silva, Chris Weidman make weight"
Saturday,2013-12-14,False,False,UFC on Fox: Johnson vs. Benavidez 2,12/14/2013,UFC on Fox: Johnson vs. Benavidez 2,12/14/2013,UFC on FOX 9 - Live from Sacramento,12/14/2013,UFC on Fox 9 - Johnson vs. Benavidez 2,12/14/2013,UFC on Fox: Johnson vs. Benavidez 2,12/14/2013,UFC on FOX 9
Friday,2013-12-06,False,False,UFC Fight Night: Hunt vs. Bigfoot,12/7/2013,UFC Fight Night: Hunt vs. Bigfoot,12/6/2013,UFC Fight Night - Hunt vs. Bigfoot,12/6/2013,,12/6/2013,UFC Fight Night: Hunt vs Bigfoot,12/6/2013,UFC Fight Night 33
Saturday,2013-11-30,False,False,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,11/30/2013,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,11/30/2013,TUF 18 Finale - Live on FOX Sports 1,11/30/2013,UFC - The Ultimate Fighter 18 Finale,11/30/2013,The Ultimate Fighter 18 Finale,11/30/2013,"TUF 18 Finale weigh in results: Gray Maynard, Nate Diaz make weight"
