Day of Week,Date,d1,d2,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting,Date Sherdog,Event Sherdog
Saturday,8/5/2017,FALSE,FALSE,UFC Fight Night: Pettis vs. Moreno,8/5/2017,UFC Fight Night: Pettis vs. Moreno,8/5/2017,UFC Fight Night - Pettis vs Moreno,8/5/2017,UFC Fight Night: Pettis vs. Moreno,8/5/2017,UFC Fight Night 114 weigh-in results: Alexa Grasso misses weight,8/5/2017,UFC Fight Night 114 - Pettis vs. Moreno
Saturday,7/29/2017,FALSE,FALSE,UFC 214: Cormier vs. Jones 2,7/29/2017,UFC 214: Cormier vs. Jones 2,7/29/2017,UFC 214 - Cormier vs Jones 2,7/29/2017,UFC 214: Cormier vs. Jones 2,7/29/2017,UFC 214,7/29/2017,UFC 214 - Cormier vs. Jones 2
Saturday,7/22/2017,FALSE,FALSE,UFC on Fox: Weidman vs. Gastelum,7/22/2017,UFC on Fox: Weidman vs. Gastelum,7/22/2017,UFC Fight Night - Weidman vs Gastelum,7/22/2017,UFC Fight Night: Weidman vs. Gastelum,7/22/2017,UFC on FOX 25,7/22/2017,UFC on Fox 25 - Weidman vs. Gastelum
Sunday,7/16/2017,FALSE,FALSE,UFC Fight Night: Nelson vs. Ponzinibbio,7/16/2017,UFC Fight Night: Nelson vs. Ponzinibbio,7/16/2017,UFC Fight Night - Nelson vs Ponzinibbio,7/16/2017,UFC Fight Night: Nelson vs. Ponzinibbio,7/16/2017,UFC Fight Night 113,7/16/2017,UFC Fight Night 113 - Nelson vs. Ponzinibbio
Saturday,7/8/2017,FALSE,FALSE,UFC 213: Romero vs. Whittaker,7/8/2017,UFC 213: Romero vs. Whittaker,7/8/2017,UFC 213 - Romero vs Whittaker,7/8/2017,UFC 213: Romero vs. Whittaker,7/8/2017,UFC 213,7/8/2017,UFC 213 - Romero vs. Whittaker
Friday,7/7/2017,FALSE,FALSE,The Ultimate Fighter: Redemption Finale,7/7/2017,The Ultimate Fighter: Redemption Finale,7/7/2017,The Ultimate Fighter Finale - Johnson vs Gaethje,7/7/2017,The Ultimate Fighter 25 Finale,7/7/2017,TUF 25 Finale,7/7/2017,UFC - The Ultimate Fighter 25 Finale
Sunday,6/25/2017,FALSE,FALSE,UFC Fight Night: Chiesa vs. Lee,6/25/2017,UFC Fight Night: Chiesa vs. Lee,6/25/2017,UFC Fight Night - Chiesa vs Lee,6/25/2017,UFC Fight Night: Chiesa vs. Lee,6/25/2017,Johny Hendricks misses weight (again) at UFC Fight Night 112 weigh-ins,6/25/2017,UFC Fight Night 112 - Chiesa vs. Lee
Saturday,6/17/2017,FALSE,FALSE,UFC Fight Night: Holm vs. Correia,6/17/2017,UFC Fight Night: Holm vs. Correia,6/17/2017,UFC Fight Night - Holm vs Correia,6/17/2017,UFC Fight Night: Holm vs. Correia,6/17/2017,UFC Fight Night 111,6/17/2017,UFC Fight Night 111 - Holm vs. Correia
Saturday,6/10/2017,FALSE,FALSE,UFC Fight Night: Lewis vs. Hunt,6/11/2017,UFC Fight Night: Lewis vs. Hunt,6/10/2017,UFC Fight Night - Lewis vs Hunt,6/10/2017,UFC Fight Night: Lewis vs. Hunt,6/10/2017,UFC Fight Night 110,6/10/2017,UFC Fight Night 110 - Hunt vs. Lewis
Saturday,6/3/2017,FALSE,FALSE,UFC 212: Aldo vs. Holloway,6/3/2017,UFC 212: Aldo vs. Holloway,6/3/2017,UFC 212 - Aldo vs Holloway,6/3/2017,UFC 212: Aldo vs. Holloway,6/3/2017,UFC 212,6/3/2017,UFC 212 - Aldo vs. Holloway
Sunday,5/28/2017,FALSE,FALSE,UFC Fight Night: Gustafsson vs. Teixeira,5/28/2017,UFC Fight Night: Gustafsson vs. Teixeira,5/28/2017,UFC Fight Night - Gustafsson vs Teixeira,5/28/2017,UFC Fight Night: Gustafsson vs. Teixeira,5/28/2017,UFC Fight Night 109,5/28/2017,UFC Fight Night 109 - Gustafsson vs. Teixeira 
Saturday,5/13/2017,FALSE,FALSE,UFC 211: Miocic vs. dos Santos 2,5/13/2017,UFC 211: Miocic vs. dos Santos 2,5/13/2017,UFC 211 - Miocic vs Dos Santos 2,5/13/2017,UFC 211: Miocic vs. Dos Santos,5/13/2017,UFC 211,5/13/2017,UFC 211 - Miocic vs. Dos Santos 2
Saturday,4/22/2017,FALSE,FALSE,UFC Fight Night: Swanson vs. Lobov,4/22/2017,UFC Fight Night: Swanson vs. Lobov,4/22/2017,UFC Fight Night - Swanson vs. Lobov,4/22/2017,UFC Fight Night: Swanson vs. Lobov,4/22/2017,UFC Fight Night 108,4/22/2017,UFC Fight Night 108 - Swanson vs. Lobov
Saturday,4/15/2017,FALSE,FALSE,UFC on Fox: Johnson vs. Reis,4/15/2017,UFC on Fox: Johnson vs. Reis,4/15/2017,UFC Fight Night - Johnson vs Reis,4/15/2017,UFC Fight Night: Johnson vs. Reis,4/15/2017,UFC on FOX 24,4/15/2017,UFC on Fox 24 - Johnson vs. Reis
Saturday,4/8/2017,FALSE,FALSE,UFC 210: Cormier vs. Johnson 2,4/8/2017,UFC 210: Cormier vs. Johnson 2,4/8/2017,UFC 210 - Cormier vs Johnson 2,4/8/2017,UFC 210: Cormier vs. Johnson 2,4/8/2017,UFC 210,4/8/2017,UFC 210 - Cormier vs. Johnson 2
Saturday,3/18/2017,FALSE,FALSE,UFC Fight Night: Manuwa vs. Anderson,3/18/2017,UFC Fight Night: Manuwa vs. Anderson,3/18/2017,UFC Fight Night - Manuwa vs Anderson,3/18/2017,UFC Fight Night: Manuwa vs. Anderson,3/18/2017,UFC Fight Night 107,3/18/2017,UFC Fight Night 107 - Manuwa vs. Anderson
Saturday,3/11/2017,FALSE,FALSE,UFC Fight Night: Belfort vs. Gastelum,3/11/2017,UFC Fight Night: Belfort vs. Gastelum,3/11/2017,UFC Fight Night - Belfort vs Gastelum,3/11/2017,UFC Fight Night: Belfort vs. Gastelum,3/11/2017,UFC Fight Night 106,3/11/2017,UFC Fight Night 106 - Belfort vs. Gastelum
Saturday,3/4/2017,FALSE,FALSE,UFC 209: Woodley vs. Thompson 2,3/4/2017,UFC 209: Woodley vs. Thompson 2,3/4/2017,UFC 209 - Woodley vs Thompson 2,3/4/2017,UFC 209: Woodley vs. Thompson 2,3/4/2017,UFC 209,3/4/2017,UFC 209 - Woodley vs. Thompson 2
Sunday,2/19/2017,FALSE,FALSE,UFC Fight Night: Lewis vs. Browne,2/19/2017,UFC Fight Night: Lewis vs. Browne,2/19/2017,UFC Fight Night - Lewis vs Browne,2/19/2017,UFC Fight Night: Lewis vs. Browne,2/19/2017,UFC Fight Night 105,2/19/2017,UFC Fight Night 105 - Lewis vs. Browne
