Last Name,Fighter,Alternate1,Alternate2,Alternate3,Alternate4
Hardwick,Joshua Dustin Hardwick,Joshua Hardwick,,,
Hawes,Phillip Hawes,Phil Hawes,,,
Hayden,Tommy Hayden,Tom Hayden,,,
Henderson,Benson Henderson,Ben Henderson,,,
Henrique,Luis Henrique,Luis Henrique Barbosa de Oliveira,,,
Hernandez,Junior Hernandez,Ramiro Hernandez,,,
Hettes,Jimy Hettes,Jim Hettes,,,
Hirota,Mizuto Hirota,MIzuto Hirota,,,
Holloway,Gabrielle Holloway,Gabby Holloway,,,
Holohan,Paddy Holohan,Patrick Holohan,,,
Isata,Francisco Isata,Fransisco Isata,,,
Ivanov,Blagoy Ivanov,Blagoi Ivanov,,,
Jackson,"Quinton ""Rampage"" Jackson",Quinton Jackson,Rampage Jackson,Rampage,
Jason,Rony Jason,Rony Mariano Bezerra,,,
Jeon,Chanmi Jeon,Chan-Mi Jeon,,,
Jingliang,Li Jingliang,Li JingLiang,Jingliang Li,,
Johnson,Demetrious Johnson,Demetrius Johnson,,,
Johnson,Timothy Johnson,Tim Johnson,,,
Jorgensen,Scott Jorgensen,Scott Jorgenson,,,
Jotko,Krzysztof Jotko,Kryzsztof Jotko,,,
Junior,Antonio Carlos Junior,Antnio Carlos Jnior,Antonio Carlos Jr.,,
Junior,Marcio Alexandre Junior,Marcio Alexandre Jr.,,,
Justino,"Cris ""Cyborg"" Justino",Cris Cyborg,"Cris ""Cyborg"" Santos",Cristiane Justino,
Kagan,Emily Peters Kagan,Emily Kagan,,,
Kalman,Geza Kalman,Geza Kahlman Jr,,,
Kang,Kyung Ho Kang,Kyung-Ho Kang,,,
Kaplan,Dave Kaplan,David Kaplan,,,
Kawajiri,Tatsuya Kawajiri,Tatsyua Kawajiri,,,
Kayani,Umer Kayani,User Kayani,,,
Keith,CJ Keith,C.J. Keith,,,
Kelly,Daniel Kelly,Dan Kelly,,,
Kennedy,Steven Kennedy,Steve Kennedy,,,
Key,Joshua Key,Josh Key,,,
Kikuta,Sanae Kikuta,Sinae Kikuta,,,
Kohsaka,Tsuyoshi Kohsaka,Tsuyoshi Kosaka,,,
Korea,Bruno Korea,Bruno Rodrigues,Bruno Rodrigues Mesquita,,
Kurtz,Kyle Kurtz,Kyle Kurts,,,
Lausa,Jenel Lausa,Janel Lausa,,,
Lawal,King Mo Lawal,"""King Mo"" Lawal",Mo Lawal,"Muhammed ""King Mo"" Lawal",Muhammed Lawal
Lee,Andrea Lee,Andrea K. Lee,,,
Lee,Vaughan Lee,Vaughn Lee,,,
Leininger,Christophe Leininger,Christophe Leninger,,,
Leleco,Leonardo Augusto Leleco,Leonardo Guimaraes,,,
Leon,Alberto Cerro Leon,Alberta Cerra Leon,,,
Liguori,Chris Liguori,Chris Ligouri,,,
Lima,Marcos Rogerio De Lima,Marcos Rogerio de Lima,,,
Lima,Rodrigo de Lima,Rodrigo Goiana de Lima,,,
Lindsey,Jake Lindsey,Jake Lindsay,,,
Lipeng,Zhang Lipeng,Lipeng Zhang,,,
Ludwig,"Duane ""Bang"" Ludwig",Duane Ludwig,,,
Luque,Vicente Luque,Vincente Luque,,,
Macario,"William ""Patolino"" Macario",William Macario,William Patolino,,
Macfarlane,Ilima-Lei Macfarlane,Ilima Macfarlane,,,
Machine,War Machine,Jon Koppenhaver,Jonathan Paul Koppenhaver,,
Mafra,Leonardo Mafra,Leonardo Mafra Texeira,,,
Marcussi,Cesar Marcussi,Cesar Marscucci,Cesar Martucci,,
Maria,Jose Maria,Jose Maria Tome,,,
Martins,Adriano Martins,Andriano Martins,,,
Martyniouk,Max Martyniouk,Max Martytniouk,,,
Matthews,AJ Matthews,A.J. Matthews,,,
McGilivray,Ryan McGillivray,Ryan McGilivray,,,
McKee,AJ McKee,A.J. McKee,,,
Medeiros,Anistavio Medeiros,Anistavio Medeiros de Figueiredo,,,
Meek,Emil Meek,Emil Weber Meek,,,
Melendez,Keri Anne Melendez,Keri Melendez,,,
Mello,Marcelo Mello,Marcello Mello,,,
Meraz,Manuel Meraz,Manny Meraz,,,
Midoux,Kristof Midoux,Christophe Midoux,,,
Mihajlovic,Bojan Mihajlovic,Bojan Mihaljovic,,,
Miller,"Jason ""Mayhem"" Miller",Jason Miller,,,
Mitchell,Felix Lee Mitchell,Felix Mitchell,,,
Moicano,Renato Moicano,Renato Carneiro,,,
Moore,Daniel Dustin Moore,Dustin Moore,,,
Morales,Albert Morales,Albert Moraes,,,
Morales,Vincent Morales,Vince Morales,,,
Moreira,Joe Moreira,Joe Moriera,,,
Morgan,Sammy Morgan,Sam Morgan,,,
Moura,Flavio Luiz Moura,Flavio Moura,,,
Mueller,Garrett Mueller,Garret Mueller,,,
Munoz,Mark Munoz,Mark Muoz,,,
Musoke,Nico Musoke,Nicholas Musoke,,,
Nasri,Reza Nasri,Reza Nazri,,,
Nicolau,Matheus Nicolau,Matheus Nicolau Pereira,,,
Nievera,Jaimelene Nievera,Jamielene Nievara,Jaymee Nievara,,
Nilson,Jack Nilson,Jack Nilsson,,,
Nogueira,Antonio Rodrigo Nogueira,Minotauro Nogueira,,,
Nogueira,Antonio Rogerio Nogueira,Rogerio Nogueira,,,
Noons,KJ Noons,K.J. Noons,,,
Norsworthy,Jake Norsworthy,Jacob Norsworthy,,,
Nunez,Jonathan Nunez,Johnny Nunez,,,
Nurmagomedov,Abubakar Nurmagomedov,Abubaker Nurmagomedov,,,
Nybakken,Garret Nybakken,Garrett Nybakken,,,
O'Brien,TJ O'Brien,T.J. O'Brien,,,
Okanovich,JJ Okanovich,J.J. Okanaovich,J.J. Okanovich,,
Oliveira,Jorge de Oliveira,Jorge Antonio Cezario de Oliveira,,,
Oliveira,Edilberto de Oliveira,Edilberto Crocota,,,
Oliynyk,Oleksiy Oliynyk,Oleksiy Oliynk,Alexey Oleynik,Aleksei Oleinik,
Osborne,Andrew Osborne,Andrew Osbourne,,,
Pacurariu,George Pacurariu,Geo Pacurariu,,,
Pancini,Marcos Vinicius,Marcos Vinicius Borges Pancini,,,
Parsons,Jordan Parsons,Jordan Parson,,,
Patishnock,Richard Patishnock,Rich Patishnock,,,
Patrick,Alan Patrick,Alan Patrick Silva Alves,,,
Patterson,Franklin Patterson,Frank Patterson,,,
Paul,Matthew Paul,Matt Paul,,,
Pena,Julianna Pena,Juianna Pena,Julianna Pea,,
Penn,BJ Penn,B.J. Penn,,,
Pepey,Godofredo Pepey,Godofredo Castro,,,
Peralta,Robbie Peralta,Robert Peralta,,,
Perpetuo,Thiago Perpetuo,Thiago de Oliveira Perpetuo,Thiago Perptuo,,
Petarra,Tony Petarra,Tony Peterra,,,
Philippou,Costas Philippou,Constantinos Philippou,Costa Philippou,Costantinos Philippou,
Pierre,Georges St. Pierre,Georges St-Pierre,,,
Prazeres,Michel Prazeres,Michael Prazeres,,,
Preux,Ovince Saint Preux,Ovince St. Preux,,,
Puig,Juan Manuel Puig,Juan Puig,,,
Punk,CM Punk,Phil Brooks,,,
Putnam,Michael Benjamin Putnam,Mike Putnam,,,
Queiroz,Vinicius Queiroz,Vinicius Kappke de Queiroz,Vinicius,,
Quinonez,Jose Quinonez,Jose Alberto Quinonez,,,
Rafferty,Josh Rafferty,Josh Raferty,,,
Rainey,Ricky Rainey,Rickey Rainey,,,
Ramirez,Matt Ramirez,Matthew Ramirez,,,
Ray,Stevie Ray,Steven Ray,,,
Reyes,Jon Delos Reyes,Jon delos Reyes,,,
Reyes,Marco Polo Reyes,Polo Reyes,,,
Ricci,Alessandro Ricci,Alex Ricci,,,
Rickels,David Rickels,Dave Rickels,,,
Riddle,Matthew Riddle,Matt Riddle,,,
Roberts,Daniel Roberts,"Daniel ""Ninja"" Roberts",,,
Robichaux,Chad Robichaux,Chad Robinchaux,,,
Robinson,Mark David Robinson,Mark Robinson,,,
Rocha,Carlos Eduardo Rocha,Carlos Rocha,,,
