Event,Date,Fight Number,Result,Fighter,Opponent,Method,Nationality,Division,Weightclass,Weight,Missed by,Notes,Withdrawn,Main Co-Main vs Undercard
UFC 207: Nunes vs. Rousey,2016-12-30,4.0,win,Ray Borg,Louis Smolka,U-DEC,USA,FLY,125,129.5,4.5,"2nd time missing weight, also missed in August 2015 against Geane Herrera",,Undercard
UFC 207: Nunes vs. Rousey,2016-12-30,5.0,loss,Johny Hendricks,Neil Magny,U-DEC,USA,WW,170,173.5,3.5,2nd successive fight missing weight. Stated move to MW after the fight,,Undercard
UFC 206: Holloway vs. Pettis,2016-12-10,0.0,loss,Anthony Pettis,Max Holloway,KO/TKO  Punches,USA,FW,145,148.0,3.0,Dropped from LW to FW. Second fight at featherweight,,Main or Co-Main
UFC 206: Holloway vs. Pettis,2016-12-10,7.0,loss,Valerie Letourneau,Viviane Pereira,S-DEC,CAN,WSW,115,117.5,2.5,Natural Flyweight. Has fought at both FW and BW,,Undercard
UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-09,4.0,win,Justine Kish,Ashley Yoder,U-DEC,USA,WSW,115,116.4,1.4,3rd fight at strawweight. Naturally suited to flyweight,,Undercard
UFC Fight Night: Bader vs. Nogueira,2016-11-19,9.0,win,Zak Cummings,Alexander Yakovlev,SUB  Armbar,USA,WW,170,172.8,2.8,Formerly a LHW. WW since 2013,,Undercard
UFC Fight Night: Mousasi vs. Hall 2,2016-11-19,9.0,win,Zak Cummings,Alexander Yakovlev,SUB  Armbar,USA,WW,170,172.8,2.8,Formerly a LHW. WW since 2013,,Undercard
UFC Fight Night: Bader vs. Nogueira,2016-11-19,,,Ian McCall,,,USA,FLY,125,,,withdrew ill with gastrointestinal issues,Withdrawn,Undercard
UFC Fight Night: Mousasi vs. Hall 2,2016-11-19,,,Ian McCall,,,USA,FLY,125,,,withdrew ill with gastrointestinal issues,Withdrawn,Undercard
UFC 205: Alvarez vs McGregor,2016-11-12,9.0,loss,Thiago Alves,Jim Miller,U-DEC,BRA,LW,155,162.6,7.6,3rd time missing weight. Was fighting at Lighweight despite previous fights being at WW,,Undercard
UFC 205: Alvarez vs McGregor,2016-11-12,,,Kelvin Gastelum,,,USA,WW,170,,,withdrew unable to make weight,Withdrawn,Undercard
