Organization,Event,Date,Fight Number,Result,Fighter,Opponent,Method,Round,Time,Url
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,2,come,Marc Diakiese yet to,Dan Hooker  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,2,come,Dan Hooker yet to,Marc Diakiese  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,2,come,Marc Diakiese yet to,Dan Hooker  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,2,come,Dan Hooker yet to,Marc Diakiese  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,2,come,Marc Diakiese yet to,Dan Hooker  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,2,come,Dan Hooker yet to,Marc Diakiese  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,3,come,Cynthia Calvillo yet to,Carla Esparza  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,3,come,Carla Esparza yet to,Cynthia Calvillo  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,3,come,Cynthia Calvillo yet to,Carla Esparza  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,3,come,Carla Esparza yet to,Cynthia Calvillo  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,3,come,Cynthia Calvillo yet to,Carla Esparza  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,3,come,Carla Esparza yet to,Cynthia Calvillo  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,3,come,Cynthia Calvillo yet to,Carla Esparza  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,3,come,Carla Esparza yet to,Cynthia Calvillo  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,3,come,Cynthia Calvillo yet to,Carla Esparza  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,3,come,Carla Esparza yet to,Cynthia Calvillo  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,4,come,Carlos Condit yet to,Neil Magny  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,4,come,Neil Magny yet to,Carlos Condit  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,4,come,Carlos Condit yet to,Neil Magny  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,4,come,Neil Magny yet to,Carlos Condit  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,4,come,Carlos Condit yet to,Neil Magny  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
