Organization,Event,Date,Fight Number,Result,Fighter,Opponent,Method,Round,Time,Url
Bellator MMA,Bellator 175 - Rampage vs. King Mo 2,2017-03-31,13,loss,Tom Shoaff,Damian Norris ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/Bellator-175-Rampage-vs-King-Mo-2-57535
Bellator MMA,Bellator 175 - Rampage vs. King Mo 2,2017-03-31,14,win,Mike DeLaViega,Brian Akins ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/Bellator-175-Rampage-vs-King-Mo-2-57535
Bellator MMA,Bellator 175 - Rampage vs. King Mo 2,2017-03-31,14,loss,Brian Akins,Mike DeLaViega ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/Bellator-175-Rampage-vs-King-Mo-2-57535
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,0,win,Blagoy Ivanov,Shawn Jordan,TKO (Punches),1.0,1:43,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,0,loss,Shawn Jordan,Blagoy Ivanov,TKO (Punches),1.0,1:43,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,0,win,Jimi Manuwa,Corey Anderson,KO (Punch),1.0,3:05,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,0,loss,Corey Anderson,Jimi Manuwa,KO (Punch),1.0,3:05,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,1,win,Andre Harrison,Lance Palmer ,Decision (Unanimous),5.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,1,loss,Lance Palmer,Andre Harrison ,Decision (Unanimous),5.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,1,win,Gunnar Nelson,Alan Jouban ,Submission (Guillotine Choke),2.0,0:46,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,1,loss,Alan Jouban,Gunnar Nelson ,Submission (Guillotine Choke),2.0,0:46,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,2,win,Bekbulat Magomedov,Donavon Frelow ,Decision (Unanimous),5.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,2,loss,Donavon Frelow,Bekbulat Magomedov ,Decision (Unanimous),5.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,2,win,Marlon Vera,Brad Pickett ,TKO (Head Kick and Punches),3.0,3:50,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,2,loss,Brad Pickett,Marlon Vera ,TKO (Head Kick and Punches),3.0,3:50,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,3,win,Abubakar Nurmagomedov,Matt Secor ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,3,loss,Matt Secor,Abubakar Nurmagomedov ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,3,win,Arnold Allen,Makwan Amirkhani ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,3,loss,Makwan Amirkhani,Arnold Allen ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,4,win,Tom Marcellino,Bill Jones ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,4,loss,Bill Jones,Tom Marcellino ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,4,win,Joe Duffy,Reza Madadi ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,4,loss,Reza Madadi,Joseph Duffy ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,5,win,Hakeem Dawodu,Steven Siler ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,5,loss,Steven Siler,Hakeem Dawodu ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,5,win,Francimar Barroso,Darren Stewart ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,5,loss,Darren Stewart,Francimar Barroso ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,6,win,Islam Mamedov,Natan Schulte ,Submission (Armbar),2.0,4:56,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,6,loss,Natan Schulte,Islam Mamedov ,Submission (Armbar),2.0,4:56,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,6,win,Timothy Johnson,Daniel Omielanczuk ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,6,loss,Daniel Omielanczuk,Timothy Johnson ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,7,win,Steven Rodriguez,Alexandre Almeida ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,7,loss,Alexandre Almeida,Steven Rodriguez ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,7,win,Leon Edwards,Vicente Luque ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,7,loss,Vicente Luque,Leon Edwards ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,8,win,Emmanuel Walo,Andrews Nakahara ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
World Series of Fighting,WSOF 35 - Ivanov vs. Jordan,2017-03-18,8,loss,Andrews Nakahara,Emmanuel Walo ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/WSOF-35-Ivanov-vs-Jordan-57231
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,8,win,Marc Diakiese,Teemu Packalen ,KO (Punch),1.0,0:30,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,8,loss,Teemu Packalen,Marc Diakiese ,KO (Punch),1.0,0:30,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,9,win,Bradley Scott,Scott Askham ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,9,loss,Scott Askham,Bradley Scott ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,10,win,Lina Lansberg,Lucie Pudilova ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC Fight Night 107 - Manuwa vs. Anderson,2017-03-18,10,loss,Lucie Pudilova,Lina Lansberg ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-Fight-Night-107-Manuwa-vs-Anderson-56259
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,0,win,Tyron Woodley,Stephen Thompson,Decision (Majority),5.0,5:00,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,0,loss,Stephen Thompson,Tyron Woodley,Decision (Majority),5.0,5:00,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,1,win,David Teymur,Lando Vannata ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,1,loss,Lando Vannata,David Teymur ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,2,win,Daniel Kelly,Rashad Evans ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,2,loss,Rashad Evans,Daniel Kelly ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,3,win,Cynthia Calvillo,Amanda Bobby Cooper ,Submission (Rear-Naked Choke),1.0,3:19,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,3,loss,Amanda Bobby Cooper,Cynthia Calvillo ,Submission (Rear-Naked Choke),1.0,3:19,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,4,win,Alistair Overeem,Mark Hunt ,KO (Knee),3.0,1:44,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,4,loss,Mark Hunt,Alistair Overeem ,KO (Knee),3.0,1:44,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,5,win,Marcin Tybura,Luis Henrique Barbosa de Oliveira ,TKO (Punches),3.0,3:46,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,5,loss,Luis Henrique,Marcin Tybura ,TKO (Punches),3.0,3:46,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,6,win,Darren Elkins,Mirsad Bektic ,KO (Punches),3.0,3:19,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,6,loss,Mirsad Bektic,Darren Elkins ,KO (Punches),3.0,3:19,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,7,win,Iuri Alcantara,Luke Sanders ,Submission (Kneebar),2.0,3:13,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,7,loss,Luke Sanders,Iuri Alcantara ,Submission (Kneebar),2.0,3:13,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,8,win,Mark Godbeer,Daniel Spitz ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,8,loss,Daniel Spitz,Mark Godbeer ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,9,win,Tyson Pedro,Paul Craig ,TKO (Elbows),1.0,4:10,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,9,loss,Paul Craig,Tyson Pedro ,TKO (Elbows),1.0,4:10,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,10,win,Albert Morales,Andre Soukhamthath ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Ultimate Fighting Championship,UFC 209 - Woodley vs. Thompson 2,2017-03-04,10,loss,Andre Soukhamthath,Albert Morales ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-209-Woodley-vs-Thompson-2-56255
Bellator MMA,Bellator 173 - McGeary vs. McDermott,2017-02-24,0,win,Liam McGeary,Brett McDermott,TKO (Doctor Stoppage),2.0,1:06,http://www.sherdog.com/events/Bellator-173-McGeary-vs-McDermott-57393
Bellator MMA,Bellator 173 - McGeary vs. McDermott,2017-02-24,0,loss,Brett McDermott,Liam McGeary,TKO (Doctor Stoppage),2.0,1:06,http://www.sherdog.com/events/Bellator-173-McGeary-vs-McDermott-57393
Bellator MMA,Bellator 173 - McGeary vs. McDermott,2017-02-24,1,win,James Gallagher,Kirill Medvedovsky ,Submission (Rear-Naked Choke),1.0,2:53,http://www.sherdog.com/events/Bellator-173-McGeary-vs-McDermott-57393
Bellator MMA,Bellator 173 - McGeary vs. McDermott,2017-02-24,1,loss,Kirill Medvedovsky,James Gallagher ,Submission (Rear-Naked Choke),1.0,2:53,http://www.sherdog.com/events/Bellator-173-McGeary-vs-McDermott-57393
Bellator MMA,Bellator 173 - McGeary vs. McDermott,2017-02-24,2,win,Iony Razafiarison,Sinead Kavanagh ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/Bellator-173-McGeary-vs-McDermott-57393
Bellator MMA,Bellator 173 - McGeary vs. McDermott,2017-02-24,2,loss,Sinead Kavanagh,Iony Razafiarison ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/Bellator-173-McGeary-vs-McDermott-57393
Bellator MMA,Bellator 173 - McGeary vs. McDermott,2017-02-24,3,win,Alex Lohore,Colin Fletcher ,Submission (Rear-Naked Choke),2.0,2:42,http://www.sherdog.com/events/Bellator-173-McGeary-vs-McDermott-57393
Bellator MMA,Bellator 173 - McGeary vs. McDermott,2017-02-24,3,loss,Colin Fletcher,Alex Lohore ,Submission (Rear-Naked Choke),2.0,2:42,http://www.sherdog.com/events/Bellator-173-McGeary-vs-McDermott-57393
Bellator MMA,Bellator 173 - McGeary vs. McDermott,2017-02-24,4,win,Shay Walsh,James McErlean ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/Bellator-173-McGeary-vs-McDermott-57393
Bellator MMA,Bellator 173 - McGeary vs. McDermott,2017-02-24,4,loss,James McErlean,Shay Walsh ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/Bellator-173-McGeary-vs-McDermott-57393
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,0,win,Germaine de Randamie,Holly Holm,Decision (Unanimous),5.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,0,loss,Holly Holm,Germaine de Randamie,Decision (Unanimous),5.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,1,win,Anderson Silva,Derek Brunson ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,1,loss,Derek Brunson,Anderson Silva ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,2,win,"Ronaldo ""Jacare"" Souza",Tim Boetsch ,Submission (Kimura),1.0,3:41,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,2,loss,Tim Boetsch,Ronaldo Souza ,Submission (Kimura),1.0,3:41,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,3,win,Glover Teixeira,Jared Cannonier ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,3,loss,Jared Cannonier,Glover Teixeira ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,4,win,Dustin Poirier,Jim Miller ,Decision (Majority),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,4,loss,Jim Miller,Dustin Poirier ,Decision (Majority),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,5,win,Belal Muhammad,Randy Brown ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,5,loss,Randy Brown,Belal Muhammad ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,6,win,Wilson Reis,Yuta Sasaki ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,6,loss,Ulka Sasaki,Wilson Reis ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,7,win,Islam Makhachev,Nik Lentz ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,7,loss,Nik Lentz,Islam Makhachev ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,8,win,Rick Glenn,Phillipe Nover ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,8,loss,Phillipe Nover,Rick Glenn ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,9,win,Ryan LaFlare,Roan Carneiro ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC 208 - Holm vs. De Randamie,2017-02-11,9,loss,Roan Carneiro,Ryan LaFlare ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-208-Holm-vs-De-Randamie-56249
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,0,win,Valentina Shevchenko,Julianna Pena,Submission (Armbar),2.0,4:29,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,0,loss,Julianna Pena,Valentina Shevchenko,Submission (Armbar),2.0,4:29,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,1,win,Jorge Masvidal,Donald Cerrone ,TKO (Punches),2.0,1:00,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,1,loss,Donald Cerrone,Jorge Masvidal ,TKO (Punches),2.0,1:00,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,2,win,Francis Ngannou,Andrei Arlovski ,TKO (Punches),1.0,1:32,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,2,loss,Andrei Arlovski,Francis Ngannou ,TKO (Punches),1.0,1:32,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,3,win,Jason Knight,Alex Caceres ,Submission (Rear-Naked Choke),2.0,4:21,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,3,loss,Alex Caceres,Jason Knight ,Submission (Rear-Naked Choke),2.0,4:21,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,4,win,Sam Alvey,Nate Marquardt ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,4,loss,Nate Marquardt,Sam Alvey ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,5,win,Raphael Assuncao,Aljamain Sterling ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,5,loss,Aljamain Sterling,Raphael Assuncao ,Decision (Split),3.0,5:00,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,6,win,Li Jingliang,Bobby Nash ,KO (Punches),2.0,4:45,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,6,loss,Bobby Nash,Jingliang Li ,KO (Punches),2.0,4:45,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,7,win,Jordan Johnson,Henrique da Silva ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,7,loss,Henrique da Silva,Jordan Johnson ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,8,win,Eric Spicely,Alessio Di Chirico ,Submission (Triangle Choke),1.0,2:14,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,8,loss,Alessio Di Chirico,Eric Spicely ,Submission (Triangle Choke),1.0,2:14,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,9,win,Marcos Rogerio De Lima,Jeremy Kimball ,TKO (Punches),1.0,2:27,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
Ultimate Fighting Championship,UFC on Fox 23 - Shevchenko vs. Pena,2017-01-28,9,loss,Jeremy Kimball,Marcos Rogerio de Lima ,TKO (Punches),1.0,2:27,http://www.sherdog.com/events/UFC-on-Fox-23-Shevchenko-vs-Pena-56245
