Event,Date,Location,Fight Number,Fighter,Record,Height,Weightclass,Reach,Leg Reach,Url
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",0,Cub Swanson,25-8-0,"5' 8""",145,70,38,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",0,Brian Ortega,"13-0-0, 1NC","5' 8""",145,69,39,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",1,Jason Knight,20-4-0,"5' 10""",145,71,39,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",1,Gabriel Benitez,20-7-0,"5' 8""",145,71,40,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",2,Marlon Moraes,20-5-1,"5' 6""",135,67,37,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",2,Aljamain Sterling,14-3-0,"5' 7""",135,71,39,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",3,Scott Holtzman,11-2-0,"5' 9""",155,69,39,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",3,Darrell Horcher,13-3-0,"5' 10""",155,72,38,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",4,Eryk Anders,10-0-0,0,185,75,43,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",4,Markus Perez,9-1-0,"6' 1""",185,,,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",5,Albert Morales,7-3-1,"5' 9""",135,72,39,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",5,Benito Lopez,9-0-0,"5' 10""",135,73,,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",6,Alexis Davis,19-7-0,"5' 6""",125,68,37,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",6,Liz Carmouche,10-6-0,"5' 6""",125,66,37,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",7,Luke Sanders,11-2-0,"5' 6""",145,67,36,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",7,Andre Soukhamthath,12-5-0,"5' 9""",135,70,37,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",8,Carls John De Tomas,8-2-0,"5' 5""",125,71,37,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",8,Alex Perez,19-4-0,"5' 6""",125,,,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",9,Frankie Saenz,12-5-0,"5' 6""",135,66,38,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",9,Merab Dvalishvili,7-3-0,"5' 6""",135,,,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",10,Alejandro Perez,20-6-1,"5' 6""",135,67,36,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",10,Iuri Alcantara,"34-9-0, 1NC","5' 9""",135,71,40,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",11,Chris Gruetzemacher,13-3-0,"5' 8""",155,68,39,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",11,Davi Ramos,7-2-0,"5' 8""",155,70,37,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",12,Antonio Braga Neto,"9-3-0, 1NC","6' 3""",185,77,,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",12,Trevin Giles,11-0-0,"6' 0""",185,74,41,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",0,Max Holloway,19-3-0,"5' 11""",145,69,42,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",0,Jose Aldo,26-4-0,"5' 7""",145,70,40,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",1,Alistair Overeem,"43-16-0, 1NC","6' 4""",265,80,44,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",1,Francis Ngannou,11-1-0,"6' 4""",265,83,44,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",2,Henry Cejudo,12-2-0,"5' 4""",125,64,37,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",2,Sergio Pettis,16-3-0,"5' 6""",125,69,38,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",3,Eddie Alvarez,"29-5-0, 1NC","5' 9""",155,69,40,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",3,Justin Gaethje,18-1-0,"5' 11""",155,,,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",4,Tecia Torres,10-1-0,"5' 1""",115,60,35,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",4,Michelle Waterson,14-6-0,"5' 3""",115,62,35,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",5,Charles Oliveira,"22-8-0, 1NC","5' 10""",155,74,41,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",5,Paul Felder,15-3-0,"5' 11""",155,70,40,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",6,Alex Oliveira,"17-4-1, 2NC","5' 11""",170,76,43,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",6,Yancy Medeiros,"15-4-0, 1NC","5' 10""",155,75,41,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",7,David Teymur,7-1-0,"5' 9""",155,73,41,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",7,Drakkar Klose,8-1-1,"5' 8""",155,70,39,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",8,Felice Herrig,14-6-0,"5' 4""",115,65,36,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",8,Cortney Casey,7-5-0,"5' 7""",115,67,,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",9,Amanda Cooper,4-3-0,"5' 3""",115,64,36,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",9,Angela Magana,11-9-0,"5' 1""",115,65,36,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",10,Sabah Homasi,11-7-0,"6' 0""",170,72,41,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",10,Abdul Razak Alhassan,8-1-0,"5' 10""",170,73,39,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",11,Jeremy Kimball,15-7-0,"6' 0""",205,72,41,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",11,Dominick Reyes,8-0-0,"6' 4""",205,77,43,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",12,Justin Willis,6-1-0,"6' 1""",265,78,41,http://www.ufc.com/event/UFC-218/printFightCard
UFC 218 - Holloway vs Aldo 2,2017-12-02 00:00:00,"Detroit, Michigan",12,Allen Crowder,"9-3-0, 1NC","6' 3""",265,76,,http://www.ufc.com/event/UFC-218/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",0,Nicco Montano,5-2-0,"5' 5""",125,,,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",0,Roxanne Modafferi,21-15-0,"5' 7""",125,,,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",1,Sean O'Malley,9-0-0,"5' 11""",135,72,39,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",1,Terrion Ware,17-6-0,"5' 8""",135,71,39,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",2,Barb Honchak,10-4-0,"5' 4""",125,,,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",2,Lauren Murphy,10-3-0,"5' 7""",125,67,38,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",3,Eric Spicely,10-4-0,"6' 1""",185,73,41,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",3,Gerald Meerschaert,27-9-0,"6' 1""",185,77,40,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",4,DeAnna Bennett,8-3-1,"5' 4""",125,67,,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",4,Melinda Fbin,4-3-2,"5' 6""",125,63,,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",5,Joe Soto,18-6-0,"5' 6""",135,65,36,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",5,Brett Johns,15-0-0,"5' 7""",135,71,39,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",6,Christina Marks,8-9-0,"5' 7""",125,68,,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",6,Montana De La Rosa,8-4-0,"5' 7""",125,70,,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",7,Andrew Sanchez,10-4-0,"6' 1""",185,74,41,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",7,Ryan Janes,10-3-0,"6' 3""",185,76,44,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",8,Karine Gevorgyan,3-3-0,"5' 4""",125,,,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",8,Rachael Ostovich,4-3-0,"5' 3""",125,,,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",9,Ariel Beck,4-5-0,"5' 6""",125,66,,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",9,Shana Dobson,3-1-0,"5' 6""",125,,,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",10,Gillian Robertson,4-2-0,"5' 6""",125,,,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
The Ultimate Fighter Finale - Montano vs Modafferi,2017-12-01 00:00:00,"Las Vegas, Nevada",10,Emily Whitmire,2-2-0,"5' 5""",125,,,http://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",0,Michael Bisping,31-9-0,"6' 1""",185,75,44,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",0,Kelvin Gastelum,"15-3-0, 1NC","5' 9""",185,71,39,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",1,Li Jingliang,14-4-0,"6' 0""",170,71,40,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",1,Zak Ottow,15-5-0,"5' 11""",170,72,40,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",2,Wang Guan,20-1-1,"5' 9""",145,71,42,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",2,Alex Caceres,"13-11-0, 1NC","5' 10""",145,73,41,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",3,Muslim Salikhov,12-2-0,"5' 11""",170,69,41,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",3,Alex Garcia,15-4-0,"5' 9""",170,72,39,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",4,Zabit Magomedsharipov,14-1-0,"6' 1""",145,73,42,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",4,Sheymon Moraes,9-1-0,"5' 8""",145,72,40,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",5,Song Kenan,13-4-0,"6' 0""",170,71,41,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",5,Bobby Nash,8-4-0,"6' 0""",170,74,42,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",6,Kailin Curran,4-6-0,"5' 4""",115,65,37,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",6,Yan Xiaonan ,"8-1-0, 1NC","5' 5""",115,63,37,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",7,Song Yadong ,"10-3-0, 2NC","5' 8""",145,67,38,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",7,Bharat Kandare,5-3-0,"5' 7""",135,72,40,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",8,Chase Sherman,11-4-0,"6' 4""",265,78,43,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",8,Shamil Abdurakhimov,18-4-0,"6' 3""",265,76,41,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",9,Wu Yanan,9-2-0,"5' 8""",135,66,39,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",9,Gina Mazany,5-1-0,"5' 6""",135,68,38,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",10,Wuliji Buren,10-5-0,"5' 9""",145,69,38,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",10,Rolando Dy,"9-6-1, 1NC","5' 8""",145,69,36,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",11,Cyril Asker,9-3-0,"6' 0""",265,74,42,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Bisping vs Gastelum,2017-11-25 00:00:00,"Shanghai, China",11,Hu Yaozong,3-1-0,"6' 3""",265,72,44,http://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",0,Fabricio Werdum,23-7-1,"6' 4""",265,77,45,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",0,Marcin Tybura,16-3-0,"6' 3""",265,78,46,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",1,Bec Rawlings,7-7-0,"5' 6""",115,64,38,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",1,Jessica-Rose Clark,"8-4-0, 1NC","5' 5""",125,64,39,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",2,Tim Means,"27-9-1, 1NC","6' 2""",170,75,43,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",2,Belal Muhammad,13-2-0,"5' 11""",170,72,40,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",3,Jake Matthews,12-3-0,"5' 11""",170,73,42,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",3,Bojan Velickovic,15-6-1,"6' 0""",170,76,41,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",4,Elias Theodorou,15-2-0,"6' 1""",185,75,40,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",4,Daniel Kelly,13-3-0,"6' 0""",185,70,43,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",5,Alexander Volkanovski,16-1-0,"5' 6""",145,71,36,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",5,Shane Young,11-4-0,"5' 8""",145,72,39,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",6,Ryan Benoit,10-5-0,"5' 5""",125,68,38,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",6,Ashkan Mokhtarian,13-3-0,"5' 6""",125,67,38,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",7,Nik Lentz,"30-8-2, 1NC","5' 8""",155,68,38,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",7,Will Brooks,18-4-0,"5' 10""",155,72,,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",8,Rashad Coulter,8-3-0,"5' 11""",265,79,,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",8,Tai Tuivasa,8-0-0,"6' 2""",265,75,39,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",9,Damien Brown,17-11-0,"5' 10""",155,68,42,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",9,Frank Camacho,21-5-0,"5' 9""",155,73,38,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",10,Alex Chambers,5-4-0,"5' 3""",115,63,36,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",10,Nadia Kassem,5-0-0,"5' 5""",115,66,38,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",11,Jenel Lausa,7-4-0,"5' 5""",125,68,35,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",11,Eric Shelton,11-4-0,"5' 6""",125,68,36,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",12,Anthony Hamilton,15-9-0,"6' 5""",265,76,45,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Werdum vs Tybura,2017-11-18 00:00:00,"Sydney, Australia",12,Adam Wieczorek,9-1-0,"6' 5""",265,81,46,http://www.ufc.com/event/ufc-fight-night-sydney-2017/printFightCard
UFC Fight Night - Poirier vs Pettis,2017-11-11 00:00:00,"Norfolk, Virginia",0,Dustin Poirier,"22-5-0, 1NC","5' 9""",155,72,40,http://www.ufc.com/event/ufc-fight-night-norfolk-nov-11-2017/printFightCard
UFC Fight Night - Poirier vs Pettis,2017-11-11 00:00:00,"Norfolk, Virginia",0,Anthony Pettis,20-7-0,"5' 10""",155,72,40,http://www.ufc.com/event/ufc-fight-night-norfolk-nov-11-2017/printFightCard
UFC Fight Night - Poirier vs Pettis,2017-11-11 00:00:00,"Norfolk, Virginia",1,Matt Brown,23-16-0,"6' 0""",170,75,43,http://www.ufc.com/event/ufc-fight-night-norfolk-nov-11-2017/printFightCard
