Event,Date,Division,Weightclass,Fight Number,Fighter,Result,Opponent,Method,Round,Time,Location,Venue,Attendance,Url
UFC 210: Cormier vs. Johnson 2,2017-04-08,Lightweight,155.0,4,Will Brooks,loss,Charles Oliveira,Submission (rear-naked choke),1,2:30,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Featherweight,145.0,5,Myles Jury,win,Mike De La Torre,TKO (elbows and punches),1,3:30,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Featherweight,145.0,5,Mike De La Torre,loss,Myles Jury,TKO (elbows and punches),1,3:30,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Welterweight,170.0,6,Kamaru Usman,win,Sean Strickland,"Decision (unanimous) (30-27, 30-26, 30-26)",3,5:00,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Welterweight,170.0,6,Sean Strickland,loss,Kamaru Usman,"Decision (unanimous) (30-27, 30-26, 30-26)",3,5:00,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Featherweight,145.0,7,Shane Burgos,win,Charles Rosa,TKO (punches),3,1:59,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Featherweight,145.0,7,Charles Rosa,loss,Shane Burgos,TKO (punches),3,1:59,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Light Heavyweight,205.0,8,Patrick Cummins,win,Jan Bachowicz,"Decision (majority) (29-28, 29-28, 28-28)",3,5:00,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Light Heavyweight,205.0,8,Jan Bachowicz,loss,Patrick Cummins,"Decision (majority) (29-28, 29-28, 28-28)",3,5:00,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Lightweight,155.0,9,Gregor Gillespie,win,Andrew Holbrook,KO (punches),1,0:21,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Lightweight,155.0,9,Andrew Holbrook,loss,Gregor Gillespie,KO (punches),1,0:21,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Lightweight,155.0,10,Desmond Green,win,Josh Emmett,"Decision (split) (28-29, 29-28, 30-27)",3,5:00,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Lightweight,155.0,10,Josh Emmett,loss,Desmond Green,"Decision (split) (28-29, 29-28, 30-27)",3,5:00,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Women's Bantamweight,135.0,11,Katlyn Chookagian,win,Irene Aldana,"Decision (split) (28-29, 29-28, 29-28)",3,5:00,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Women's Bantamweight,135.0,11,Irene Aldana,loss,Katlyn Chookagian,"Decision (split) (28-29, 29-28, 29-28)",3,5:00,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Flyweight,125.0,12,Magomed Bibulatov,win,Jenel Lausa,"Decision (unanimous) (29-26, 29-26, 29-26)",3,5:00,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC 210: Cormier vs. Johnson 2,2017-04-08,Flyweight,125.0,12,Jenel Lausa,loss,Magomed Bibulatov,"Decision (unanimous) (29-26, 29-26, 29-26)",3,5:00,"Buffalo, New York, U.S.",KeyBank Center,17110.0,https://en.wikipedia.org/wiki/UFC_210
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Light Heavyweight,205.0,0,Jimi Manuwa,win,Corey Anderson,KO (punch),1,3:05,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Light Heavyweight,205.0,0,Corey Anderson,loss,Jimi Manuwa,KO (punch),1,3:05,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Welterweight,170.0,1,Gunnar Nelson,win,Alan Jouban,Submission (guillotine choke),2,0:46,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Welterweight,170.0,1,Alan Jouban,loss,Gunnar Nelson,Submission (guillotine choke),2,0:46,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Catchweight (140 lbs),140.0,2,Marlon Vera,win,Brad Pickett,TKO (head kick and punches),3,3:50,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Catchweight (140 lbs),140.0,2,Brad Pickett,loss,Marlon Vera,TKO (head kick and punches),3,3:50,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Featherweight,145.0,3,Arnold Allen,win,Makwan Amirkhani,"Decision (split) (2829, 3027, 3027)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Featherweight,145.0,3,Makwan Amirkhani,loss,Arnold Allen,"Decision (split) (2829, 3027, 3027)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Lightweight,155.0,4,Joe Duffy,win,Reza Madadi,"Decision (unanimous) (3027, 3027, 3027)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Lightweight,155.0,4,Reza Madadi,loss,Joe Duffy,"Decision (unanimous) (3027, 3027, 3027)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Light Heavyweight,205.0,5,Francimar Barroso,win,Darren Stewart,"Decision (unanimous) (2928, 2928, 2928)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Light Heavyweight,205.0,5,Darren Stewart,loss,Francimar Barroso,"Decision (unanimous) (2928, 2928, 2928)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Heavyweight,265.0,6,Timothy Johnson,win,Daniel Omielaczuk,"Decision (split) (2829, 3027, 2928)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Heavyweight,265.0,6,Daniel Omielaczuk,loss,Timothy Johnson,"Decision (split) (2829, 3027, 2928)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Welterweight,170.0,7,Leon Edwards,win,Vicente Luque,"Decision (unanimous) (2928, 2928, 2928)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Welterweight,170.0,7,Vicente Luque,loss,Leon Edwards,"Decision (unanimous) (2928, 2928, 2928)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Lightweight,155.0,8,Marc Diakiese,win,Teemu Packalen,KO (punch),1,0:30,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Lightweight,155.0,8,Teemu Packalen,loss,Marc Diakiese,KO (punch),1,0:30,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Middleweight,185.0,9,Bradley Scott,win,Scott Askham,"Decision (split) (2829, 2928, 2928)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Middleweight,185.0,9,Scott Askham,loss,Brad Scott,"Decision (split) (2829, 2928, 2928)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Women's Bantamweight,135.0,10,Lina Lnsberg,win,Lucie Pudilova,"Decision (unanimous) (2928, 2928, 2928)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,Women's Bantamweight,135.0,10,Lucie Pudilova,loss,Lina Lnsberg,"Decision (unanimous) (2928, 2928, 2928)",3,5:00,"London, England, U.K.",The O2 Arena,15761.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Middleweight,185.0,0,Kelvin Gastelum,nc,Vitor Belfort,No Contest (overturned),1,3:52,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Middleweight,185.0,0,Vitor Belfort,nc,Kelvin Gastelum,No Contest (overturned),1,3:52,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Light Heavyweight,205.0,1,Maurcio Rua,win,Gian Villante,TKO (head kick and punches),3,0:59,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Light Heavyweight,205.0,1,Gian Villante,loss,Maurcio Rua,TKO (head kick and punches),3,0:59,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Lightweight,155.0,2,Edson Barboza,win,Beneil Dariush,KO (flying knee),2,3:35,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Lightweight,155.0,2,Beneil Dariush,loss,Edson Barboza,KO (flying knee),2,3:35,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Flyweight,125.0,3,Ray Borg,win,Jussier Formiga,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Flyweight,125.0,3,Jussier Formiga,loss,Ray Borg,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Women's Bantamweight,135.0,4,Marion Reneau,draw,Bethe Correia,"Draw (majority) (29-27, 28-28, 28-28)",3,5:00,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Women's Bantamweight,135.0,4,Bethe Correia,draw,Marion Reneau,"Draw (majority) (29-27, 28-28, 28-28)",3,5:00,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Welterweight,170.0,5,Alex Oliveira,win,Tim Means,Submission (rear-naked choke),2,2:38,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Welterweight,170.0,5,Tim Means,loss,Alex Oliveira,Submission (rear-naked choke),2,2:38,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Lightweight,155.0,6,Kevin Lee,win,Francisco Trinaldo,Submission (rear-naked choke),2,3:12,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Lightweight,155.0,6,Francisco Trinaldo,loss,Kevin Lee,Submission (rear-naked choke),2,3:12,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Welterweight,170.0,7,Srgio Moraes,win,Davi Ramos,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Welterweight,170.0,7,Davi Ramos,loss,Srgio Moraes,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Bantamweight,135.0,8,Joe Soto,win,Rani Yahya,"Decision (unanimous) (29-28, 29-27, 29-27)",3,5:00,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Bantamweight,135.0,8,Rani Yahya,loss,Joe Soto,"Decision (unanimous) (29-28, 29-27, 29-27)",3,5:00,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Lightweight,155.0,9,Michel Prazeres,win,Josh Burkman,Submission (north-south choke),1,1:41,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Lightweight,155.0,9,Josh Burkman,loss,Michel Prazeres,Submission (north-south choke),1,1:41,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Featherweight,145.0,10,Jeremy Kennedy,win,Rony Jason,"Decision (unanimous) (29-28, 29-28, 29-27)",3,5:00,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Featherweight,145.0,10,Rony Jason,loss,Jeremy Kennedy,"Decision (unanimous) (29-28, 29-28, 29-27)",3,5:00,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Middleweight,185.0,11,Paulo Costa,win,Garreth McLellan,TKO (body kick and punches),1,1:17,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Middleweight,185.0,11,Garreth McLellan,loss,Paulo Costa,TKO (body kick and punches),1,1:17,"Fortaleza, Brazil",Centro de Formao Olmpica do Nordeste,14069.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
UFC 209: Woodley vs. Thompson 2,2017-03-04,Welterweight,170.0,0,Tyron Woodley,win,Stephen Thompson,"Decision (majority) (48-47, 47-47, 48-47)",5,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Welterweight,170.0,0,Stephen Thompson,loss,Tyron Woodley,"Decision (majority) (48-47, 47-47, 48-47)",5,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Lightweight,155.0,1,David Teymur,win,Lando Vannata,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Lightweight,155.0,1,Lando Vannata,loss,David Teymur,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Middleweight,185.0,2,Daniel Kelly,win,Rashad Evans,"Decision (split) (29-28, 28-29, 29-28)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Middleweight,185.0,2,Rashad Evans,loss,Dan Kelly,"Decision (split) (29-28, 28-29, 29-28)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Women's Strawweight,115.0,3,Cynthia Calvillo,win,Amanda Cooper,Submission (rear-naked choke),1,3:19,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Women's Strawweight,115.0,3,Amanda Bobby Cooper,loss,Cynthia Calvillo,Submission (rear-naked choke),1,3:19,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Heavyweight,265.0,4,Alistair Overeem,win,Mark Hunt,KO (knees),3,1:44,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Heavyweight,265.0,4,Mark Hunt,loss,Alistair Overeem,KO (knees),3,1:44,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Heavyweight,265.0,5,Marcin Tybura,win,Luis Henrique,TKO (punches),3,3:46,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Heavyweight,265.0,5,Luis Henrique,loss,Marcin Tybura,TKO (punches),3,3:46,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Featherweight,145.0,6,Darren Elkins,win,Mirsad Bekti,KO (punches and head kick),3,3:19,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Featherweight,145.0,6,Mirsad Bekti,loss,Darren Elkins,KO (punches and head kick),3,3:19,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Bantamweight,135.0,7,Iuri Alcntara,win,Luke Sanders,Submission (kneebar),2,3:13,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Bantamweight,135.0,7,Luke Sanders,loss,Iuri Alcntara,Submission (kneebar),2,3:13,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Heavyweight,265.0,8,Mark Godbeer,win,Daniel Spitz,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Heavyweight,265.0,8,Daniel Spitz,loss,Mark Godbeer,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Light Heavyweight,205.0,9,Tyson Pedro,win,Paul Craig,TKO (elbows),1,4:10,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Light Heavyweight,205.0,9,Paul Craig,loss,Tyson Pedro,TKO (elbows),1,4:10,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Bantamweight,135.0,10,Albert Morales,win,Andre Soukhamthath,"Decision (split) (29-28, 28-29, 29-28)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC 209: Woodley vs. Thompson 2,2017-03-04,Bantamweight,135.0,10,Andre Soukhamthath,loss,Albert Morales,"Decision (split) (29-28, 28-29, 29-28)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13150.0,https://en.wikipedia.org/wiki/UFC_209
UFC Fight Night: Lewis vs. Browne,2017-02-19,Heavyweight,265.0,0,Derrick Lewis,win,Travis Browne,KO (punches),2,3:12,"Halifax, Nova Scotia, Canada",Scotiabank Centre,8123.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Browne
UFC Fight Night: Lewis vs. Browne,2017-02-19,Heavyweight,265.0,0,Travis Browne,loss,Derrick Lewis,KO (punches),2,3:12,"Halifax, Nova Scotia, Canada",Scotiabank Centre,8123.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Browne
UFC Fight Night: Lewis vs. Browne,2017-02-19,Middleweight,185.0,1,Johny Hendricks,win,Hector Lombard,"Decision (unanimous) (30-27, 30-27, 29-28)",3,5:00,"Halifax, Nova Scotia, Canada",Scotiabank Centre,8123.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Browne
UFC Fight Night: Lewis vs. Browne,2017-02-19,Middleweight,185.0,1,Hector Lombard,loss,Johny Hendricks,"Decision (unanimous) (30-27, 30-27, 29-28)",3,5:00,"Halifax, Nova Scotia, Canada",Scotiabank Centre,8123.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Browne
UFC Fight Night: Lewis vs. Browne,2017-02-19,Featherweight,145.0,2,Gavin Tucker,win,Sam Sicilia,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Halifax, Nova Scotia, Canada",Scotiabank Centre,8123.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Browne
UFC Fight Night: Lewis vs. Browne,2017-02-19,Featherweight,145.0,2,Sam Sicilia,loss,Gavin Tucker,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Halifax, Nova Scotia, Canada",Scotiabank Centre,8123.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Browne
UFC Fight Night: Lewis vs. Browne,2017-02-19,Middleweight,185.0,3,Elias Theodorou,win,Cezar Ferreira,"Decision (unanimous) (30-27, 29-28, 29-28)",3,5:00,"Halifax, Nova Scotia, Canada",Scotiabank Centre,8123.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Browne
UFC Fight Night: Lewis vs. Browne,2017-02-19,Middleweight,185.0,3,Cezar Ferreira,loss,Elias Theodorou,"Decision (unanimous) (30-27, 29-28, 29-28)",3,5:00,"Halifax, Nova Scotia, Canada",Scotiabank Centre,8123.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Browne
UFC Fight Night: Lewis vs. Browne,2017-02-19,Catchweight (139.5 lbs),139.5,4,Sara McMann,win,Gina Mazany,Submission (arm-triangle choke),1,1:14,"Halifax, Nova Scotia, Canada",Scotiabank Centre,8123.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Browne
