Event,Date,Fight Number,Division,Weightclass,Fighter,Opponent,Result,Method,Round,Time,Sig Strikes,Takedowns,Sub Attempts,Guard Passes,Url
UFC Fight Night: Swanson vs. Lobov,2017-04-22,12,Flyweight,125,Matt Schnell,Hector Sandoval,loss,KO/TKO  Punch,1,4:24,16,1,1,2,http://www.fightmetric.com/event-details/bc7f7f0ba3db74d2
UFC Fight Night: Johnson vs. Reis,2017-04-15,0,Flyweight,125,Demetrious Johnson,Wilson Reis,win,SUB  Armbar,3,4:49,108,1,1,3,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,0,Flyweight,125,Wilson Reis,Demetrious Johnson,loss,SUB  Armbar,3,4:49,16,0,0,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,1,Women's Strawweight,115,Rose Namajunas,Michelle Waterson,win,SUB  Rear Naked Choke,2,2:47,47,1,1,3,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,1,Women's Strawweight,115,Michelle Waterson,Rose Namajunas,loss,SUB  Rear Naked Choke,2,2:47,22,1,0,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,2,Middleweight,185,Robert Whittaker,Jacare Souza,win,KO/TKO  Kick,2,3:28,55,0,0,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,2,Middleweight,185,"Ronaldo ""Jacare"" Souza",Robert Whittaker,loss,KO/TKO  Kick,2,3:28,9,1,0,1,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,3,Featherweight,145,Renato Moicano,Jeremy Stephens,win,S-DEC,3,5:00,70,2,0,1,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,3,Featherweight,145,Jeremy Stephens,Renato Moicano,loss,S-DEC,3,5:00,56,0,0,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,4,Heavyweight,265,Alexander Volkov,Roy Nelson,win,U-DEC,3,5:00,122,0,0,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,4,Heavyweight,265,Roy Nelson,Alexander Volkov,loss,U-DEC,3,5:00,32,1,0,2,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,5,Bantamweight,135,Tom Duquesnoy,Patrick Williams,win,KO/TKO  Elbows,2,0:28,36,0,0,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,5,Bantamweight,135,Patrick Williams,Tom Duquesnoy,loss,KO/TKO  Elbows,2,0:28,37,2,0,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,6,Lightweight,155,Bobby Green,Rashid Magomedov,loss,S-DEC,3,5:00,75,0,0,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,6,Lightweight,155,Rashid Magomedov,Bobby Green,win,S-DEC,3,5:00,75,0,0,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,7,Flyweight,125,Tim Elliott,Louis Smolka,win,U-DEC,3,5:00,57,12,1,14,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,7,Flyweight,125,Louis Smolka,Tim Elliott,loss,U-DEC,3,5:00,41,1,2,5,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,8,Bantamweight,135,Augusto Mendes,Aljamain Sterling,loss,U-DEC,3,5:00,30,0,0,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,8,Bantamweight,135,Aljamain Sterling,Augusto Mendes,win,U-DEC,3,5:00,83,2,0,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,9,Light Heavyweight,205,Jake Collier,Devin Clark,loss,U-DEC,3,5:00,36,0,1,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,9,Light Heavyweight,205,Devin Clark,Jake Collier,win,U-DEC,3,5:00,68,4,0,6,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,10,Middleweight,185,Andrew Sanchez,Anthony Smith,loss,KO/TKO  Kick,3,3:52,63,4,0,3,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,10,Middleweight,185,Anthony Smith,Andrew Sanchez,win,KO/TKO  Kick,3,3:52,49,0,0,1,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,11,Welterweight,170,Nathan Coy,Zak Cummings,loss,SUB  Guillotine Choke,1,4:21,23,1,0,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,11,Welterweight,170,Zak Cummings,Nathan Coy,win,SUB  Guillotine Choke,1,4:21,25,0,2,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,12,Women's Bantamweight,135,Ketlen Vieira,Ashlee Evans-Smith,win,U-DEC,3,5:00,71,1,0,1,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC Fight Night: Johnson vs. Reis,2017-04-15,12,Women's Bantamweight,135,Ashlee Evans-Smith,Ketlen Vieira,loss,U-DEC,3,5:00,68,0,0,0,http://www.fightmetric.com/event-details/ed069a95aaaf4f56
UFC 210: Cormier vs. Johnson 2,2017-04-08,0,Light Heavyweight,205,Daniel Cormier,Anthony Johnson,win,SUB  Rear Naked Choke,2,3:37,36,1,1,1,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,0,Light Heavyweight,205,Anthony Johnson,Daniel Cormier,loss,SUB  Rear Naked Choke,2,3:37,22,1,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,1,Middleweight,185,Gegard Mousasi,Chris Weidman,win,KO/TKO  Knee,2,3:13,49,0,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,1,Middleweight,185,Chris Weidman,Gegard Mousasi,loss,KO/TKO  Knee,2,3:13,13,4,1,2,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,2,Women's Strawweight,115,Cynthia Calvillo,Pearl Gonzalez,win,SUB  Rear Naked Choke,3,3:45,50,1,3,4,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,2,Women's Strawweight,115,Pearl Gonzalez,Cynthia Calvillo,loss,SUB  Rear Naked Choke,3,3:45,37,2,1,2,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,3,Welterweight,170,Thiago Alves,Patrick Cote,win,U-DEC,3,5:00,79,1,0,3,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,3,Welterweight,170,Patrick Cote,Thiago Alves,loss,U-DEC,3,5:00,44,0,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,4,Lightweight,155,Charles Oliveira,Will Brooks,win,SUB  Rear Naked Choke,1,2:30,3,2,1,1,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,4,Lightweight,155,Will Brooks,Charles Oliveira,loss,SUB  Rear Naked Choke,1,2:30,4,0,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,5,Featherweight,145,Myles Jury,Mike de la Torre,win,KO/TKO  Punches,1,3:30,36,1,0,2,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,5,Featherweight,145,Mike De La Torre,Myles Jury,loss,KO/TKO  Punches,1,3:30,0,0,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,6,Welterweight,170,Sean Strickland,Kamaru Usman,loss,U-DEC,3,5:00,27,0,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,6,Welterweight,170,Kamaru Usman,Sean Strickland,win,U-DEC,3,5:00,90,2,0,2,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,7,Featherweight,145,Shane Burgos,Charles Rosa,win,KO/TKO  Punch,3,1:59,77,0,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,7,Featherweight,145,Charles Rosa,Shane Burgos,loss,KO/TKO  Punch,3,1:59,86,1,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,8,Light Heavyweight,205,Jan Blachowicz,Patrick Cummins,loss,U-DEC,3,5:00,53,1,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,8,Light Heavyweight,205,Patrick Cummins,Jan Blachowicz,win,U-DEC,3,5:00,73,3,0,1,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,9,Lightweight,155,Andrew Holbrook,Gregor Gillespie,loss,KO/TKO  Punch,1,0:21,4,0,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,9,Lightweight,155,Gregor Gillespie,Andrew Holbrook,win,KO/TKO  Punch,1,0:21,8,0,0,1,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,10,Lightweight,155,Josh Emmett,Desmond Green,loss,S-DEC,3,5:00,41,0,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,10,Lightweight,155,Desmond Green,Josh Emmett,win,S-DEC,3,5:00,57,1,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,11,Women's Bantamweight,135,Irene Aldana,Katlyn Chookagian,loss,S-DEC,3,5:00,84,0,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,11,Women's Bantamweight,135,Katlyn Chookagian,Irene Aldana,win,S-DEC,3,5:00,105,0,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,12,Flyweight,125,Magomed Bibulatov,Jenel Lausa,win,U-DEC,3,5:00,51,2,0,9,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC 210: Cormier vs. Johnson 2,2017-04-08,12,Flyweight,125,Jenel Lausa,Magomed Bibulatov,loss,U-DEC,3,5:00,10,0,0,0,http://www.fightmetric.com/event-details/e7bfdb5e0112891e
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,0,Light Heavyweight,205,Jimi Manuwa,Corey Anderson,win,KO/TKO  Punch,1,3:05,6,0,0,0,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,0,Light Heavyweight,205,Corey Anderson,Jimi Manuwa,loss,KO/TKO  Punch,1,3:05,6,0,0,0,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,1,Welterweight,170,Gunnar Nelson,Alan Jouban,win,SUB  Guillotine Choke,2,0:46,8,1,1,5,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,1,Welterweight,170,Alan Jouban,Gunnar Nelson,loss,SUB  Guillotine Choke,2,0:46,17,0,0,0,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,2,Catch Weight,0,Marlon Vera,Brad Pickett,win,KO/TKO  Kick,3,3:50,67,0,0,0,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,2,Catch Weight,0,Brad Pickett,Marlon Vera,loss,KO/TKO  Kick,3,3:50,51,2,0,2,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,3,Featherweight,145,Arnold Allen,Makwan Amirkhani,win,S-DEC,3,5:00,32,3,1,6,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,3,Featherweight,145,Makwan Amirkhani,Arnold Allen,loss,S-DEC,3,5:00,17,4,3,3,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,4,Lightweight,155,Joe Duffy,Reza Madadi,win,U-DEC,3,5:00,51,0,0,2,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,4,Lightweight,155,Reza Madadi,Joe Duffy,loss,U-DEC,3,5:00,28,2,0,0,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,5,Light Heavyweight,205,Francimar Barroso,Darren Stewart,win,U-DEC,3,5:00,28,7,0,0,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,5,Light Heavyweight,205,Darren Stewart,Francimar Barroso,loss,U-DEC,3,5:00,31,1,0,0,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,6,Heavyweight,265,Timothy Johnson,Daniel Omielanczuk,win,S-DEC,3,5:00,52,1,0,1,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,6,Heavyweight,265,Daniel Omielanczuk,Tim Johnson,loss,S-DEC,3,5:00,54,0,0,0,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,7,Welterweight,170,Leon Edwards,Vicente Luque,win,U-DEC,3,5:00,53,3,0,1,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,7,Welterweight,170,Vicente Luque,Leon Edwards,loss,U-DEC,3,5:00,24,2,0,3,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,8,Lightweight,155,Teemu Packalen,Marc Diakiese,loss,KO/TKO  Punch,1,0:30,1,0,0,0,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,8,Lightweight,155,Marc Diakiese,Teemu Packalen,win,KO/TKO  Punch,1,0:30,6,0,0,0,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,9,Middleweight,185,Scott Askham,Bradley Scott,loss,S-DEC,3,5:00,86,1,0,1,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,9,Middleweight,185,Bradley Scott,Scott Askham,win,S-DEC,3,5:00,72,0,0,0,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,10,Women's Bantamweight,135,Lina Lansberg,Lucie Pudilova,win,U-DEC,3,5:00,80,1,0,0,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,10,Women's Bantamweight,135,Lucie Pudilova,Lina Lansberg,loss,U-DEC,3,5:00,99,0,0,0,http://www.fightmetric.com/event-details/c0231720fe516994
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,0,Middleweight,185,Vitor Belfort,Kelvin Gastelum,nc  nc,Overturned  Punch,1,3:52,10,0,0,0,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,0,Middleweight,185,Kelvin Gastelum,Vitor Belfort,nc  nc,Overturned  Punch,1,3:52,26,0,0,1,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,1,Light Heavyweight,205,"Mauricio ""Shogun"" Rua",Gian Villante,win,KO/TKO  Punch,3,0:59,94,2,0,0,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,1,Light Heavyweight,205,Gian Villante,Mauricio Rua,loss,KO/TKO  Punch,3,0:59,55,0,0,0,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,2,Lightweight,155,Edson Barboza,Beneil Dariush,win,KO/TKO  Flying Knee,2,3:35,30,0,0,0,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,2,Lightweight,155,Beneil Dariush,Edson Barboza,loss,KO/TKO  Flying Knee,2,3:35,51,0,0,0,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,3,Flyweight,125,Ray Borg,Jussier Formiga,win,U-DEC,3,5:00,36,0,0,1,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,3,Flyweight,125,Jussier Formiga,Ray Borg,loss,U-DEC,3,5:00,30,0,0,1,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,4,Women's Bantamweight,135,Bethe Correia,Marion Reneau,draw  draw,M-DEC,3,5:00,43,2,0,1,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,4,Women's Bantamweight,135,Marion Reneau,Bethe Correia,draw  draw,M-DEC,3,5:00,75,0,0,4,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,5,Welterweight,170,Tim Means,Alex Oliveira,loss,SUB  Rear Naked Choke,2,2:38,9,0,0,1,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,5,Welterweight,170,Alex Oliveira,Tim Means,win,SUB  Rear Naked Choke,2,2:38,12,6,1,1,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,6,Lightweight,155,Francisco Trinaldo,Kevin Lee,loss,SUB  Rear Naked Choke,2,3:12,25,0,1,0,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,6,Lightweight,155,Kevin Lee,Francisco Trinaldo,win,SUB  Rear Naked Choke,2,3:12,15,1,1,3,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,7,Welterweight,170,Davi Ramos,Sergio Moraes,loss,U-DEC,3,5:00,35,0,0,0,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,7,Welterweight,170,Sergio Moraes,Davi Ramos,win,U-DEC,3,5:00,39,0,0,0,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,8,Bantamweight,135,Rani Yahya,Joe Soto,loss,U-DEC,3,5:00,59,1,0,1,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,8,Bantamweight,135,Joe Soto,Rani Yahya,win,U-DEC,3,5:00,54,1,2,6,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,9,Lightweight,155,Josh Burkman,Michel Prazeres,loss,SUB  North-South Choke,1,1:42,1,0,0,0,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,9,Lightweight,155,Michel Prazeres,Joshua Burkman,win,SUB  North-South Choke,1,1:42,24,2,1,2,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,10,Featherweight,145,Rony Jason,Jeremy Kennedy,loss,U-DEC,3,5:00,18,0,0,1,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,10,Featherweight,145,Jeremy Kennedy,Rony Jason,win,U-DEC,3,5:00,46,8,0,1,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,11,Middleweight,185,Paulo Costa,Garreth McLellan,win,KO/TKO  Punch,1,1:17,22,0,0,0,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,11,Middleweight,185,Garreth McLellan,Paulo Costa,loss,KO/TKO  Punch,1,1:17,6,0,0,0,http://www.fightmetric.com/event-details/47b7e4e60813b7b2
UFC 209: Woodley vs. Thompson 2,2017-03-04,0,Welterweight,170,Tyron Woodley,Stephen Thompson,win,M-DEC,5,5:00,54,1,0,1,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,0,Welterweight,170,Stephen Thompson,Tyron Woodley,loss,M-DEC,5,5:00,53,0,0,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,1,Lightweight,155,David Teymur,Lando Vannata,win,U-DEC,3,5:00,90,2,0,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,1,Lightweight,155,Lando Vannata,David Teymur,loss,U-DEC,3,5:00,76,1,0,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,2,Middleweight,185,Daniel Kelly,Rashad Evans,win,S-DEC,3,5:00,74,0,0,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,2,Middleweight,185,Rashad Evans,Daniel Kelly,loss,S-DEC,3,5:00,53,1,0,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,3,Women's Strawweight,115,Cynthia Calvillo,Amanda Cooper,win,SUB  Rear Naked Choke,1,3:19,13,1,3,2,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,3,Women's Strawweight,115,Amanda Bobby Cooper,Cynthia Calvillo,loss,SUB  Rear Naked Choke,1,3:19,7,0,0,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,4,Heavyweight,265,Alistair Overeem,Mark Hunt,win,KO/TKO  Knees,3,1:44,55,0,0,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,4,Heavyweight,265,Mark Hunt,Alistair Overeem,loss,KO/TKO  Knees,3,1:44,21,0,0,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,5,Heavyweight,265,Marcin Tybura,Luis Henrique,win,KO/TKO  Punches,3,3:46,50,1,0,3,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,5,Heavyweight,265,Luis Henrique,Marcin Tybura,loss,KO/TKO  Punches,3,3:46,14,3,1,1,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,6,Featherweight,145,Darren Elkins,Mirsad Bektic,win,KO/TKO  Kick,3,3:19,28,0,1,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,6,Featherweight,145,Mirsad Bektic,Darren Elkins,loss,KO/TKO  Kick,3,3:19,60,4,0,8,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,7,Bantamweight,135,Iuri Alcantara,Luke Sanders,win,SUB  Kneebar,2,3:13,23,1,1,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,7,Bantamweight,135,Luke Sanders,Iuri Alcantara,loss,SUB  Kneebar,2,3:13,94,1,0,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,8,Heavyweight,265,Daniel Spitz,Mark Godbeer,loss,U-DEC,3,5:00,51,1,0,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,8,Heavyweight,265,Mark Godbeer,Daniel Spitz,win,U-DEC,3,5:00,92,0,0,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,9,Light Heavyweight,205,Paul Craig,Tyson Pedro,loss,KO/TKO  Elbows,1,4:10,12,0,0,0,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,9,Light Heavyweight,205,Tyson Pedro,Paul Craig,win,KO/TKO  Elbows,1,4:10,23,0,0,1,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,10,Bantamweight,135,Albert Morales,Andre Soukhamthath,win,S-DEC,3,5:00,56,1,0,1,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC 209: Woodley vs. Thompson 2,2017-03-04,10,Bantamweight,135,Andre Soukhamthath,Albert Morales,loss,S-DEC,3,5:00,46,0,0,2,http://www.fightmetric.com/event-details/20e403a1acfef130
UFC Fight Night: Lewis vs. Browne,2017-02-19,0,Heavyweight,265,Derrick Lewis,Travis Browne,win,KO/TKO  Punch,2,3:12,39,0,0,1,http://www.fightmetric.com/event-details/b4ad3a06ee4d660c
UFC Fight Night: Lewis vs. Browne,2017-02-19,0,Heavyweight,265,Travis Browne,Derrick Lewis,loss,KO/TKO  Punch,2,3:12,21,0,0,0,http://www.fightmetric.com/event-details/b4ad3a06ee4d660c
UFC Fight Night: Lewis vs. Browne,2017-02-19,1,Middleweight,185,Johny Hendricks,Hector Lombard,win,U-DEC,3,5:00,51,0,0,0,http://www.fightmetric.com/event-details/b4ad3a06ee4d660c
UFC Fight Night: Lewis vs. Browne,2017-02-19,1,Middleweight,185,Hector Lombard,Johny Hendricks,loss,U-DEC,3,5:00,37,2,0,0,http://www.fightmetric.com/event-details/b4ad3a06ee4d660c
UFC Fight Night: Lewis vs. Browne,2017-02-19,2,Featherweight,145,Gavin Tucker,Sam Sicilia,win,U-DEC,3,5:00,55,1,0,0,http://www.fightmetric.com/event-details/b4ad3a06ee4d660c
UFC Fight Night: Lewis vs. Browne,2017-02-19,2,Featherweight,145,Sam Sicilia,Gavin Tucker,loss,U-DEC,3,5:00,10,0,0,0,http://www.fightmetric.com/event-details/b4ad3a06ee4d660c
