Event,Date,Fight Number,Division,Weightclass,Fighter,Opponent,Result,Method,Round,Time,Sig Strikes,Takedowns,Sub Attempts,Guard Passes,Url
UFC Fight Night: Swanson vs. Ortega,2017-12-09,2,Bantamweight,135,Aljamain Sterling,Marlon Moraes,loss,KO/TKO  Knee,1,1:07,3,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,3,Lightweight,155,Scott Holtzman,Darrell Horcher,win,U-DEC,3,5:00,49,7,0,5,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,3,Lightweight,155,Darrell Horcher,Scott Holtzman,loss,U-DEC,3,5:00,36,1,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,4,Middleweight,185,Eryk Anders,Markus Perez,win,U-DEC,3,5:00,79,2,0,3,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,4,Middleweight,185,Markus Perez,Eryk Anders,loss,U-DEC,3,5:00,30,2,1,1,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,5,Bantamweight,135,Benito Lopez,Albert Morales,win,U-DEC,3,5:00,78,0,1,1,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,5,Bantamweight,135,Albert Morales,Benito Lopez,loss,U-DEC,3,5:00,78,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,6,Women's Flyweight,125,Liz Carmouche,Alexis Davis,loss,S-DEC,3,5:00,49,4,0,2,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,6,Women's Flyweight,125,Alexis Davis,Liz Carmouche,win,S-DEC,3,5:00,23,1,2,2,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,7,Bantamweight,135,Andre Soukhamthath,Luke Sanders,win,KO/TKO  Punches,2,1:06,20,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,7,Bantamweight,135,Luke Sanders,Andre Soukhamthath,loss,KO/TKO  Punches,2,1:06,23,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,8,Bantamweight,135,Carls John De Tomas,Alex Perez,loss,SUB  Anaconda Choke,2,1:54,8,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,8,Bantamweight,135,Alex Perez,Carls John De Tomas,win,SUB  Anaconda Choke,2,1:54,24,2,3,1,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,9,Bantamweight,135,Merab Dvalishvili,Frankie Saenz,loss,S-DEC,3,5:00,47,11,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,9,Bantamweight,135,Frankie Saenz,Merab Dvalishvili,win,S-DEC,3,5:00,58,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,10,Bantamweight,135,Iuri Alcantara,Alejandro Perez,loss,U-DEC,3,5:00,38,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
