WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event
win,Eryk Anders,79,2,0,3,Middleweight,U-DEC,3,5:00,Eryk Anders vs. Markus Perez,4,Markus Perez,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Markus Perez,30,2,1,1,Middleweight,U-DEC,3,5:00,Eryk Anders vs. Markus Perez,4,Eryk Anders,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Benito Lopez,78,0,1,1,Bantamweight,U-DEC,3,5:00,Benito Lopez vs. Albert Morales,5,Albert Morales,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Albert Morales,78,0,0,0,Bantamweight,U-DEC,3,5:00,Benito Lopez vs. Albert Morales,5,Benito Lopez,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Liz Carmouche,49,4,0,2,Women's Flyweight,S-DEC,3,5:00,Alexis Davis vs. Liz Carmouche,6,Alexis Davis,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Alexis Davis,23,1,2,2,Women's Flyweight,S-DEC,3,5:00,Alexis Davis vs. Liz Carmouche,6,Liz Carmouche,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Andre Soukhamthath,20,0,0,0,Bantamweight,KO/TKO  Punches,2,1:06,Andre Soukhamthath vs. Luke Sanders,7,Luke Sanders,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Luke Sanders,23,0,0,0,Bantamweight,KO/TKO  Punches,2,1:06,Andre Soukhamthath vs. Luke Sanders,7,Andre Soukhamthath,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Carls John De Tomas,8,0,0,0,Bantamweight,SUB  Anaconda Choke,2,1:54,Alex Perez vs. Carls John De Tomas,8,Alex Perez,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Alex Perez,24,2,3,1,Bantamweight,SUB  Anaconda Choke,2,1:54,Alex Perez vs. Carls John De Tomas,8,Carls John De Tomas,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Merab Dvalishvili,47,11,0,0,Bantamweight,S-DEC,3,5:00,Frankie Saenz vs. Merab Dvalishvili,9,Frankie Saenz,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Frankie Saenz,58,0,0,0,Bantamweight,S-DEC,3,5:00,Frankie Saenz vs. Merab Dvalishvili,9,Merab Dvalishvili,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Iuri Alcantara,38,0,0,0,Bantamweight,U-DEC,3,5:00,Alejandro Perez vs. Iuri Alcantara,10,Alejandro Perez,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Alejandro Perez,35,0,0,0,Bantamweight,U-DEC,3,5:00,Alejandro Perez vs. Iuri Alcantara,10,Iuri Alcantara,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Chris Gruetzemacher,46,0,0,0,Lightweight,SUB  Rear Naked Choke,3,0:50,Davi Ramos vs. Chris Gruetzemacher,11,Davi Ramos,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Davi Ramos,55,5,1,5,Lightweight,SUB  Rear Naked Choke,3,0:50,Davi Ramos vs. Chris Gruetzemacher,11,Chris Gruetzemacher,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Trevin Giles,70,0,0,0,Middleweight,KO/TKO  Punches,3,2:27,Trevin Giles vs. Antonio Braga Neto,12,Antonio Braga Neto,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Antonio Braga Neto,18,2,0,2,Middleweight,KO/TKO  Punches,3,2:27,Trevin Giles vs. Antonio Braga Neto,12,Trevin Giles,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Max Holloway,174,0,0,1,Featherweight,KO/TKO  Punches,3,4:51,Max Holloway vs. Jose Aldo,0,Jose Aldo,2017-12-02,UFC 218: Holloway vs. Aldo 2
loss,Jose Aldo,87,0,0,0,Featherweight,KO/TKO  Punches,3,4:51,Max Holloway vs. Jose Aldo,0,Max Holloway,2017-12-02,UFC 218: Holloway vs. Aldo 2
win,Francis Ngannou,6,0,0,0,Heavyweight,KO/TKO  Punch,1,1:42,Francis Ngannou vs. Alistair Overeem,1,Alistair Overeem,2017-12-02,UFC 218: Holloway vs. Aldo 2
loss,Alistair Overeem,1,0,0,0,Heavyweight,KO/TKO  Punch,1,1:42,Francis Ngannou vs. Alistair Overeem,1,Francis Ngannou,2017-12-02,UFC 218: Holloway vs. Aldo 2
win,Henry Cejudo,36,3,0,3,Flyweight,U-DEC,3,5:00,Henry Cejudo vs. Sergio Pettis,2,Sergio Pettis,2017-12-02,UFC 218: Holloway vs. Aldo 2
loss,Sergio Pettis,25,0,0,0,Flyweight,U-DEC,3,5:00,Henry Cejudo vs. Sergio Pettis,2,Henry Cejudo,2017-12-02,UFC 218: Holloway vs. Aldo 2
win,Eddie Alvarez,155,1,0,0,Lightweight,KO/TKO  Knee,3,3:59,Eddie Alvarez vs. Justin Gaethje,3,Justin Gaethje,2017-12-02,UFC 218: Holloway vs. Aldo 2
loss,Justin Gaethje,122,0,0,0,Lightweight,KO/TKO  Knee,3,3:59,Eddie Alvarez vs. Justin Gaethje,3,Eddie Alvarez,2017-12-02,UFC 218: Holloway vs. Aldo 2
win,Tecia Torres,95,1,0,1,Women's Strawweight,U-DEC,3,5:00,Tecia Torres vs. Michelle Waterson,4,Michelle Waterson,2017-12-02,UFC 218: Holloway vs. Aldo 2
loss,Michelle Waterson,56,2,0,4,Women's Strawweight,U-DEC,3,5:00,Tecia Torres vs. Michelle Waterson,4,Tecia Torres,2017-12-02,UFC 218: Holloway vs. Aldo 2
win,Paul Felder,31,0,0,2,Lightweight,KO/TKO  Elbows,2,4:06,Paul Felder vs. Charles Oliveira,5,Charles Oliveira,2017-12-02,UFC 218: Holloway vs. Aldo 2
loss,Charles Oliveira,6,2,2,2,Lightweight,KO/TKO  Elbows,2,4:06,Paul Felder vs. Charles Oliveira,5,Paul Felder,2017-12-02,UFC 218: Holloway vs. Aldo 2
loss,Alex Oliveira,93,2,0,1,Welterweight,KO/TKO  Punches,3,2:02,Yancy Medeiros vs. Alex Oliveira,6,Yancy Medeiros,2017-12-02,UFC 218: Holloway vs. Aldo 2
win,Yancy Medeiros,75,1,0,2,Welterweight,KO/TKO  Punches,3,2:02,Yancy Medeiros vs. Alex Oliveira,6,Alex Oliveira,2017-12-02,UFC 218: Holloway vs. Aldo 2
