WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event
win,Albert Morales,56,1,0,1,Bantamweight,S-DEC,3,5:00,Albert Morales vs. Andre Soukhamthath,10,Andre Soukhamthath,2017-03-04,UFC 209: Woodley vs. Thompson 2
loss,Andre Soukhamthath,46,0,0,2,Bantamweight,S-DEC,3,5:00,Albert Morales vs. Andre Soukhamthath,10,Albert Morales,2017-03-04,UFC 209: Woodley vs. Thompson 2
win,Derrick Lewis,39,0,0,1,Heavyweight,KO/TKO  Punch,2,3:12,Derrick Lewis vs. Travis Browne,0,Travis Browne,2017-02-19,UFC Fight Night: Lewis vs. Browne
loss,Travis Browne,21,0,0,0,Heavyweight,KO/TKO  Punch,2,3:12,Derrick Lewis vs. Travis Browne,0,Derrick Lewis,2017-02-19,UFC Fight Night: Lewis vs. Browne
win,Johny Hendricks,51,0,0,0,Middleweight,U-DEC,3,5:00,Johny Hendricks vs. Hector Lombard,1,Hector Lombard,2017-02-19,UFC Fight Night: Lewis vs. Browne
loss,Hector Lombard,37,2,0,0,Middleweight,U-DEC,3,5:00,Johny Hendricks vs. Hector Lombard,1,Johny Hendricks,2017-02-19,UFC Fight Night: Lewis vs. Browne
win,Gavin Tucker,55,1,0,0,Featherweight,U-DEC,3,5:00,Gavin Tucker vs. Sam Sicilia,2,Sam Sicilia,2017-02-19,UFC Fight Night: Lewis vs. Browne
loss,Sam Sicilia,10,0,0,0,Featherweight,U-DEC,3,5:00,Gavin Tucker vs. Sam Sicilia,2,Gavin Tucker,2017-02-19,UFC Fight Night: Lewis vs. Browne
win,Elias Theodorou,38,1,0,0,Middleweight,U-DEC,3,5:00,Elias Theodorou vs. Cezar Ferreira,3,Cezar Ferreira,2017-02-19,UFC Fight Night: Lewis vs. Browne
loss,Cezar Ferreira,11,3,2,2,Middleweight,U-DEC,3,5:00,Elias Theodorou vs. Cezar Ferreira,3,Elias Theodorou,2017-02-19,UFC Fight Night: Lewis vs. Browne
win,Sara McMann,7,2,1,2,Women's Bantamweight,SUB  Arm Triangle,1,1:14,Sara McMann vs. Gina Mazany,4,Gina Mazany,2017-02-19,UFC Fight Night: Lewis vs. Browne
loss,Gina Mazany,0,0,0,0,Women's Bantamweight,SUB  Arm Triangle,1,1:14,Sara McMann vs. Gina Mazany,4,Sara McMann,2017-02-19,UFC Fight Night: Lewis vs. Browne
win,Paul Felder,23,0,0,0,Lightweight,KO/TKO  Elbow,1,4:44,Paul Felder vs. Alessandro Ricci,5,Alessandro Ricci,2017-02-19,UFC Fight Night: Lewis vs. Browne
loss,Alessandro Ricci,21,0,0,0,Lightweight,KO/TKO  Elbow,1,4:44,Paul Felder vs. Alessandro Ricci,5,Paul Felder,2017-02-19,UFC Fight Night: Lewis vs. Browne
win,Santiago Ponzinibbio,53,0,0,2,Welterweight,U-DEC,3,5:00,Santiago Ponzinibbio vs. Nordine Taleb,6,Nordine Taleb,2017-02-19,UFC Fight Night: Lewis vs. Browne
loss,Nordine Taleb,48,0,0,0,Welterweight,U-DEC,3,5:00,Santiago Ponzinibbio vs. Nordine Taleb,6,Santiago Ponzinibbio,2017-02-19,UFC Fight Night: Lewis vs. Browne
win,Randa Markos,48,0,0,0,Women's Strawweight,S-DEC,3,5:00,Randa Markos vs. Carla Esparza,7,Carla Esparza,2017-02-19,UFC Fight Night: Lewis vs. Browne
loss,Carla Esparza,32,4,1,4,Women's Strawweight,S-DEC,3,5:00,Randa Markos vs. Carla Esparza,7,Randa Markos,2017-02-19,UFC Fight Night: Lewis vs. Browne
loss,Reginaldo Vieira,64,2,0,0,Bantamweight,U-DEC,3,5:00,Aiemann Zahabi vs. Reginaldo Vieira,8,Aiemann Zahabi,2017-02-19,UFC Fight Night: Lewis vs. Browne
win,Aiemann Zahabi,44,0,0,1,Bantamweight,U-DEC,3,5:00,Aiemann Zahabi vs. Reginaldo Vieira,8,Reginaldo Vieira,2017-02-19,UFC Fight Night: Lewis vs. Browne
loss,Jack Marshman,6,0,0,0,Middleweight,KO/TKO  Kick,2,2:21,Thiago Santos vs. Jack Marshman,9,Thiago Santos,2017-02-19,UFC Fight Night: Lewis vs. Browne
win,Thiago Santos,27,1,0,0,Middleweight,KO/TKO  Kick,2,2:21,Thiago Santos vs. Jack Marshman,9,Jack Marshman,2017-02-19,UFC Fight Night: Lewis vs. Browne
win,Gerald Meerschaert,3,0,1,0,Middleweight,SUB  Armbar,1,1:34,Gerald Meerschaert vs. Ryan Janes,10,Ryan Janes,2017-02-19,UFC Fight Night: Lewis vs. Browne
loss,Ryan Janes,3,1,0,1,Middleweight,SUB  Armbar,1,1:34,Gerald Meerschaert vs. Ryan Janes,10,Gerald Meerschaert,2017-02-19,UFC Fight Night: Lewis vs. Browne
win,Germaine de Randamie,80,0,0,0,Women's Featherweight,U-DEC,5,5:00,Germaine de Randamie vs. Holly Holm,0,Holly Holm,2017-02-11,UFC 208: Holm vs. De Randamie
loss,Holly Holm,77,0,0,0,Women's Featherweight,U-DEC,5,5:00,Germaine de Randamie vs. Holly Holm,0,Germaine de Randamie,2017-02-11,UFC 208: Holm vs. De Randamie
win,Anderson Silva,43,0,0,0,Middleweight,U-DEC,3,5:00,Anderson Silva vs. Derek Brunson,1,Derek Brunson,2017-02-11,UFC 208: Holm vs. De Randamie
loss,Derek Brunson,54,2,0,0,Middleweight,U-DEC,3,5:00,Anderson Silva vs. Derek Brunson,1,Anderson Silva,2017-02-11,UFC 208: Holm vs. De Randamie
win,Jacare Souza,7,1,1,2,Middleweight,SUB  Kimura,1,3:41,Jacare Souza vs. Tim Boetsch,2,Tim Boetsch,2017-02-11,UFC 208: Holm vs. De Randamie
loss,Tim Boetsch,6,0,0,0,Middleweight,SUB  Kimura,1,3:41,Jacare Souza vs. Tim Boetsch,2,Jacare Souza,2017-02-11,UFC 208: Holm vs. De Randamie
win,Glover Teixeira,24,3,1,11,Light Heavyweight,U-DEC,3,5:00,Glover Teixeira vs. Jared Cannonier,3,Jared Cannonier,2017-02-11,UFC 208: Holm vs. De Randamie
loss,Jared Cannonier,21,0,0,0,Light Heavyweight,U-DEC,3,5:00,Glover Teixeira vs. Jared Cannonier,3,Glover Teixeira,2017-02-11,UFC 208: Holm vs. De Randamie
win,Dustin Poirier,97,3,0,1,Lightweight,M-DEC,3,5:00,Dustin Poirier vs. Jim Miller,4,Jim Miller,2017-02-11,UFC 208: Holm vs. De Randamie
loss,Jim Miller,71,1,3,1,Lightweight,M-DEC,3,5:00,Dustin Poirier vs. Jim Miller,4,Dustin Poirier,2017-02-11,UFC 208: Holm vs. De Randamie
win,Belal Muhammad,71,2,0,2,Welterweight,U-DEC,3,5:00,Belal Muhammad vs. Randy Brown,5,Randy Brown,2017-02-11,UFC 208: Holm vs. De Randamie
loss,Randy Brown,52,0,0,0,Welterweight,U-DEC,3,5:00,Belal Muhammad vs. Randy Brown,5,Belal Muhammad,2017-02-11,UFC 208: Holm vs. De Randamie
win,Wilson Reis,34,6,2,6,Flyweight,U-DEC,3,5:00,Wilson Reis vs. Ulka Sasaki,6,Ulka Sasaki,2017-02-11,UFC 208: Holm vs. De Randamie
loss,Ulka Sasaki,34,0,0,2,Flyweight,U-DEC,3,5:00,Wilson Reis vs. Ulka Sasaki,6,Wilson Reis,2017-02-11,UFC 208: Holm vs. De Randamie
loss,Nik Lentz,13,0,1,0,Lightweight,U-DEC,3,5:00,Islam Makhachev vs. Nik Lentz,7,Islam Makhachev,2017-02-11,UFC 208: Holm vs. De Randamie
win,Islam Makhachev,43,5,0,12,Lightweight,U-DEC,3,5:00,Islam Makhachev vs. Nik Lentz,7,Nik Lentz,2017-02-11,UFC 208: Holm vs. De Randamie
loss,Phillipe Nover,50,0,0,0,Featherweight,S-DEC,3,5:00,Rick Glenn vs. Phillipe Nover,8,Rick Glenn,2017-02-11,UFC 208: Holm vs. De Randamie
win,Rick Glenn,52,0,0,0,Featherweight,S-DEC,3,5:00,Rick Glenn vs. Phillipe Nover,8,Phillipe Nover,2017-02-11,UFC 208: Holm vs. De Randamie
win,Ryan LaFlare,29,1,0,2,Welterweight,U-DEC,3,5:00,Ryan LaFlare vs. Roan Carneiro,9,Roan Carneiro,2017-02-11,UFC 208: Holm vs. De Randamie
loss,Roan Carneiro,19,0,0,2,Welterweight,U-DEC,3,5:00,Ryan LaFlare vs. Roan Carneiro,9,Ryan LaFlare,2017-02-11,UFC 208: Holm vs. De Randamie
win,Chan Sung Jung,17,0,0,0,Featherweight,KO/TKO  Punch,1,2:29,Chan Sung Jung vs. Dennis Bermudez,0,Dennis Bermudez,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
loss,Dennis Bermudez,20,0,0,0,Featherweight,KO/TKO  Punch,1,2:29,Chan Sung Jung vs. Dennis Bermudez,0,Chan Sung Jung,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
win,Felice Herrig,60,2,0,2,Women's Strawweight,U-DEC,3,5:00,Felice Herrig vs. Alexa Grasso,1,Alexa Grasso,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
loss,Alexa Grasso,80,0,1,0,Women's Strawweight,U-DEC,3,5:00,Felice Herrig vs. Alexa Grasso,1,Felice Herrig,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
win,James Vick,25,1,3,2,Lightweight,SUB  D'Arce Choke,3,0:49,James Vick vs. Abel Trujillo,2,Abel Trujillo,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
loss,Abel Trujillo,11,1,0,0,Lightweight,SUB  D'Arce Choke,3,0:49,James Vick vs. Abel Trujillo,2,James Vick,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
win,Volkan Oezdemir,82,0,0,0,Light Heavyweight,S-DEC,3,5:00,Volkan Oezdemir vs. Ovince Saint Preux,3,Ovince Saint Preux,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
loss,Ovince Saint Preux,76,0,0,0,Light Heavyweight,S-DEC,3,5:00,Volkan Oezdemir vs. Ovince Saint Preux,3,Volkan Oezdemir,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
win,Marcel Fortuna,15,0,0,0,Heavyweight,KO/TKO  Punch,1,3:10,Marcel Fortuna vs. Anthony Hamilton,4,Anthony Hamilton,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
loss,Anthony Hamilton,14,0,0,0,Heavyweight,KO/TKO  Punch,1,3:10,Marcel Fortuna vs. Anthony Hamilton,4,Marcel Fortuna,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
loss,Angela Hill,89,0,0,0,Women's Strawweight,U-DEC,3,5:00,Jessica Andrade vs. Angela Hill,5,Jessica Andrade,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
win,Jessica Andrade,131,2,0,0,Women's Strawweight,U-DEC,3,5:00,Jessica Andrade vs. Angela Hill,5,Angela Hill,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
nc  nc,Curtis Blaydes,25,8,0,1,Heavyweight,Overturned,2,0:59,Adam Milstead vs. Curtis Blaydes,6,Adam Milstead,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
nc  nc,Adam Milstead,1,0,0,0,Heavyweight,Overturned,2,0:59,Adam Milstead vs. Curtis Blaydes,6,Curtis Blaydes,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
loss,Chris Gruetzemacher,28,0,0,0,Featherweight,SUB  Rear Naked Choke,2,2:01,Chas Skelly vs. Chris Gruetzemacher,7,Chas Skelly,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
win,Chas Skelly,21,2,1,2,Featherweight,SUB  Rear Naked Choke,2,2:01,Chas Skelly vs. Chris Gruetzemacher,7,Chris Gruetzemacher,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
loss,Michinori Tanaka,28,2,0,1,Bantamweight,U-DEC,3,5:00,Ricardo Ramos vs. Michinori Tanaka,8,Ricardo Ramos,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
win,Ricardo Ramos,45,0,1,3,Bantamweight,U-DEC,3,5:00,Ricardo Ramos vs. Michinori Tanaka,8,Michinori Tanaka,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
loss,Bec Rawlings,37,1,0,0,Women's Strawweight,U-DEC,3,5:00,Tecia Torres vs. Bec Rawlings,9,Tecia Torres,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
win,Tecia Torres,81,1,0,2,Women's Strawweight,U-DEC,3,5:00,Tecia Torres vs. Bec Rawlings,9,Bec Rawlings,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
nc  nc,Niko Price,23,0,0,0,Welterweight,Overturned  Punch,2,5:00,Alex Morono vs. Niko Price,10,Alex Morono,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
nc  nc,Alex Morono,45,0,0,0,Welterweight,Overturned  Punch,2,5:00,Alex Morono vs. Niko Price,10,Niko Price,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
win,Khalil Rountree Jr.,3,0,0,0,Light Heavyweight,KO/TKO  Knees,1,0:52,Khalil Rountree Jr. vs. Daniel Jolly,11,Daniel Jolly,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
loss,Daniel Jolly,0,0,0,0,Light Heavyweight,KO/TKO  Knees,1,0:52,Khalil Rountree Jr. vs. Daniel Jolly,11,Khalil Rountree Jr.,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
win,Valentina Shevchenko,13,2,1,2,Women's Bantamweight,SUB  Armbar,2,4:29,Valentina Shevchenko vs. Julianna Pena,0,Julianna Pena,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
loss,Julianna Pena,27,1,0,0,Women's Bantamweight,SUB  Armbar,2,4:29,Valentina Shevchenko vs. Julianna Pena,0,Valentina Shevchenko,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
win,Jorge Masvidal,58,0,0,0,Welterweight,KO/TKO  Punches,2,1:00,Jorge Masvidal vs. Donald Cerrone,1,Donald Cerrone,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
loss,Donald Cerrone,30,0,0,0,Welterweight,KO/TKO  Punches,2,1:00,Jorge Masvidal vs. Donald Cerrone,1,Jorge Masvidal,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
win,Francis Ngannou,8,0,0,0,Heavyweight,KO/TKO  Punch,1,1:32,Francis Ngannou vs. Andrei Arlovski,2,Andrei Arlovski,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
loss,Andrei Arlovski,3,0,0,0,Heavyweight,KO/TKO  Punch,1,1:32,Francis Ngannou vs. Andrei Arlovski,2,Francis Ngannou,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
win,Jason Knight,31,2,4,2,Featherweight,SUB  Rear Naked Choke,2,4:21,Jason Knight vs. Alex Caceres,3,Alex Caceres,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
loss,Alex Caceres,27,0,0,0,Featherweight,SUB  Rear Naked Choke,2,4:21,Jason Knight vs. Alex Caceres,3,Jason Knight,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
win,Sam Alvey,36,0,0,0,Middleweight,U-DEC,3,5:00,Sam Alvey vs. Nate Marquardt,4,Nate Marquardt,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
loss,Nate Marquardt,28,1,0,1,Middleweight,U-DEC,3,5:00,Sam Alvey vs. Nate Marquardt,4,Sam Alvey,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
loss,Aljamain Sterling,52,0,0,0,Bantamweight,S-DEC,3,5:00,Raphael Assuncao vs. Aljamain Sterling,5,Raphael Assuncao,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
win,Raphael Assuncao,39,0,0,0,Bantamweight,S-DEC,3,5:00,Raphael Assuncao vs. Aljamain Sterling,5,Aljamain Sterling,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
loss,Bobby Nash,39,1,2,1,Welterweight,KO/TKO  Punch,2,4:45,Li Jingliang vs. Bobby Nash,6,Li Jingliang,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
win,Li Jingliang,37,0,0,1,Welterweight,KO/TKO  Punch,2,4:45,Li Jingliang vs. Bobby Nash,6,Bobby Nash,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
loss,Henrique da Silva,22,0,0,0,Light Heavyweight,U-DEC,3,5:00,Jordan Johnson vs. Henrique da Silva,7,Jordan Johnson,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
win,Jordan Johnson,39,4,2,5,Light Heavyweight,U-DEC,3,5:00,Jordan Johnson vs. Henrique da Silva,7,Henrique da Silva,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
loss,Alessio Di Chirico,1,0,0,0,Middleweight,SUB  Triangle Choke,1,2:14,Eric Spicely vs. Alessio Di Chirico,8,Eric Spicely,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
win,Eric Spicely,1,1,1,0,Middleweight,SUB  Triangle Choke,1,2:14,Eric Spicely vs. Alessio Di Chirico,8,Alessio Di Chirico,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
loss,Jeremy Kimball,5,0,0,0,Light Heavyweight,KO/TKO  Punches,1,2:27,Marcos Rogerio de Lima vs. Jeremy Kimball,9,Marcos Rogerio de Lima,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
win,Marcos Rogerio de Lima,12,0,0,0,Light Heavyweight,KO/TKO  Punches,1,2:27,Marcos Rogerio de Lima vs. Jeremy Kimball,9,Jeremy Kimball,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
loss,Eric Shelton,32,4,0,0,Flyweight,S-DEC,3,5:00,Alexandre Pantoja vs. Eric Shelton,10,Alexandre Pantoja,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
win,Alexandre Pantoja,37,1,2,2,Flyweight,S-DEC,3,5:00,Alexandre Pantoja vs. Eric Shelton,10,Eric Shelton,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
win,Jason Gonzalez,4,0,1,0,Lightweight,SUB  D'Arce Choke,1,3:54,Jason Gonzalez vs. JC Cottrell,11,JC Cottrell,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
loss,JC Cottrell,1,1,0,3,Lightweight,SUB  D'Arce Choke,1,3:54,Jason Gonzalez vs. JC Cottrell,11,Jason Gonzalez,2017-01-28,UFC Fight Night: Shevchenko vs. Pena
win,Yair Rodriguez,55,0,0,0,Featherweight,KO/TKO  Punches,2,0:24,Yair Rodriguez vs. BJ Penn,0,BJ Penn,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
loss,BJ Penn,4,0,0,0,Featherweight,KO/TKO  Punches,2,0:24,Yair Rodriguez vs. BJ Penn,0,Yair Rodriguez,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
win,Joe Lauzon,20,1,1,0,Lightweight,S-DEC,3,5:00,Joe Lauzon vs. Marcin Held,1,Marcin Held,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
loss,Marcin Held,23,5,0,4,Lightweight,S-DEC,3,5:00,Joe Lauzon vs. Marcin Held,1,Joe Lauzon,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
win,Ben Saunders,49,0,0,0,Welterweight,U-DEC,3,5:00,Ben Saunders vs. Court McGee,2,Court McGee,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
loss,Court McGee,54,1,0,2,Welterweight,U-DEC,3,5:00,Ben Saunders vs. Court McGee,2,Ben Saunders,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
win,Sergio Pettis,48,2,0,0,Flyweight,U-DEC,3,5:00,Sergio Pettis vs. John Moraga,3,John Moraga,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
loss,John Moraga,33,1,0,0,Flyweight,U-DEC,3,5:00,Sergio Pettis vs. John Moraga,3,Sergio Pettis,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
win,Drakkar Klose,68,2,0,0,Lightweight,U-DEC,3,5:00,Drakkar Klose vs. Devin Powell,4,Devin Powell,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
loss,Devin Powell,22,0,0,0,Lightweight,U-DEC,3,5:00,Drakkar Klose vs. Devin Powell,4,Drakkar Klose,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
loss,Frankie Saenz,40,0,0,0,Bantamweight,S-DEC,3,5:00,Augusto Mendes vs. Frankie Saenz,5,Augusto Mendes,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
win,Augusto Mendes,42,4,0,1,Bantamweight,S-DEC,3,5:00,Augusto Mendes vs. Frankie Saenz,5,Frankie Saenz,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
loss,Viktor Pesta,7,1,0,3,Heavyweight,SUB  Other - Choke,1,2:57,Aleksei Oleinik vs. Viktor Pesta,6,Aleksei Oleinik,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
win,Aleksei Oleinik,7,0,1,0,Heavyweight,SUB  Other - Choke,1,2:57,Aleksei Oleinik vs. Viktor Pesta,6,Viktor Pesta,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
loss,Alex White,11,0,0,0,Lightweight,U-DEC,3,5:00,Tony Martin vs. Alex White,7,Tony Martin,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
win,Tony Martin,20,2,0,4,Lightweight,U-DEC,3,5:00,Tony Martin vs. Alex White,7,Alex White,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
loss,Jocelyn Jones-Lybarger,21,0,0,0,Women's Strawweight,SUB  Rear Naked Choke,3,3:39,Nina Ansaroff vs. Jocelyn Jones-Lybarger,8,Nina Ansaroff,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
win,Nina Ansaroff,48,1,2,5,Women's Strawweight,SUB  Rear Naked Choke,3,3:39,Nina Ansaroff vs. Jocelyn Jones-Lybarger,8,Jocelyn Jones-Lybarger,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
loss,Chase Sherman,20,0,0,0,Heavyweight,KO/TKO  Knee,2,2:41,Walt Harris vs. Chase Sherman,9,Walt Harris,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
win,Walt Harris,32,0,0,0,Heavyweight,KO/TKO  Knee,2,2:41,Walt Harris vs. Chase Sherman,9,Chase Sherman,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
loss,Bojan Mihajlovic,22,0,0,0,Light Heavyweight,KO/TKO  Punches,3,2:05,Joachim Christensen vs. Bojan Mihajlovic,10,Joachim Christensen,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
win,Joachim Christensen,41,0,0,0,Light Heavyweight,KO/TKO  Punches,3,2:05,Joachim Christensen vs. Bojan Mihajlovic,10,Bojan Mihajlovic,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
win,Cyril Asker,19,1,0,2,Heavyweight,KO/TKO  Punches,1,2:41,Cyril Asker vs. Dmitrii Smoliakov,11,Dmitrii Smoliakov,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
loss,Dmitrii Smoliakov,5,0,0,0,Heavyweight,KO/TKO  Punches,1,2:41,Cyril Asker vs. Dmitrii Smoliakov,11,Cyril Asker,2017-01-15,UFC Fight Night: Rodriguez vs. Penn
win,Amanda Nunes,27,0,0,0,Women's Bantamweight,KO/TKO  Punches,1,0:48,Amanda Nunes vs. Ronda Rousey,0,Ronda Rousey,2016-12-30,UFC 207: Nunes vs. Rousey
loss,Ronda Rousey,7,0,0,0,Women's Bantamweight,KO/TKO  Punches,1,0:48,Amanda Nunes vs. Ronda Rousey,0,Amanda Nunes,2016-12-30,UFC 207: Nunes vs. Rousey
win,Cody Garbrandt,68,1,0,0,Bantamweight,U-DEC,5,5:00,Cody Garbrandt vs. Dominick Cruz,1,Dominick Cruz,2016-12-30,UFC 207: Nunes vs. Rousey
loss,Dominick Cruz,88,0,0,0,Bantamweight,U-DEC,5,5:00,Cody Garbrandt vs. Dominick Cruz,1,Cody Garbrandt,2016-12-30,UFC 207: Nunes vs. Rousey
win,TJ Dillashaw,71,5,1,8,Bantamweight,U-DEC,3,5:00,TJ Dillashaw vs. John Lineker,2,John Lineker,2016-12-30,UFC 207: Nunes vs. Rousey
loss,John Lineker,38,1,0,0,Bantamweight,U-DEC,3,5:00,TJ Dillashaw vs. John Lineker,2,TJ Dillashaw,2016-12-30,UFC 207: Nunes vs. Rousey
win,Dong Hyun Kim,36,3,0,0,Welterweight,S-DEC,3,5:00,Dong Hyun Kim vs. Tarec Saffiedine,3,Tarec Saffiedine,2016-12-30,UFC 207: Nunes vs. Rousey
loss,Tarec Saffiedine,52,2,0,0,Welterweight,S-DEC,3,5:00,Dong Hyun Kim vs. Tarec Saffiedine,3,Dong Hyun Kim,2016-12-30,UFC 207: Nunes vs. Rousey
win,Ray Borg,21,4,1,12,Flyweight,U-DEC,3,5:00,Ray Borg vs. Louis Smolka,4,Louis Smolka,2016-12-30,UFC 207: Nunes vs. Rousey
loss,Louis Smolka,10,0,1,0,Flyweight,U-DEC,3,5:00,Ray Borg vs. Louis Smolka,4,Ray Borg,2016-12-30,UFC 207: Nunes vs. Rousey
win,Neil Magny,50,1,2,0,Welterweight,U-DEC,3,5:00,Neil Magny vs. Johny Hendricks,5,Johny Hendricks,2016-12-30,UFC 207: Nunes vs. Rousey
loss,Johny Hendricks,18,6,0,3,Welterweight,U-DEC,3,5:00,Neil Magny vs. Johny Hendricks,5,Neil Magny,2016-12-30,UFC 207: Nunes vs. Rousey
win,Antonio Carlos Junior,28,4,0,1,Middleweight,U-DEC,3,5:00,Antonio Carlos Junior vs. Marvin Vettori,6,Marvin Vettori,2016-12-30,UFC 207: Nunes vs. Rousey
loss,Marvin Vettori,29,1,1,1,Middleweight,U-DEC,3,5:00,Antonio Carlos Junior vs. Marvin Vettori,6,Antonio Carlos Junior,2016-12-30,UFC 207: Nunes vs. Rousey
loss,Mike Pyle,5,0,0,0,Welterweight,KO/TKO  Punch,1,3:34,Alex Garcia vs. Mike Pyle,7,Alex Garcia,2016-12-30,UFC 207: Nunes vs. Rousey
win,Alex Garcia,14,1,0,2,Welterweight,KO/TKO  Punch,1,3:34,Alex Garcia vs. Mike Pyle,7,Mike Pyle,2016-12-30,UFC 207: Nunes vs. Rousey
loss,Brandon Thatch,8,0,2,0,Welterweight,SUB  Arm Triangle,1,4:30,Niko Price vs. Brandon Thatch,8,Niko Price,2016-12-30,UFC 207: Nunes vs. Rousey
win,Niko Price,6,1,2,2,Welterweight,SUB  Arm Triangle,1,4:30,Niko Price vs. Brandon Thatch,8,Brandon Thatch,2016-12-30,UFC 207: Nunes vs. Rousey
nc  nc,Alex Oliveira,6,1,0,1,Welterweight,CNC,1,3:33,Alex Oliveira vs. Tim Means,9,Tim Means,2016-12-30,UFC 207: Nunes vs. Rousey
nc  nc,Tim Means,17,1,0,2,Welterweight,CNC,1,3:33,Alex Oliveira vs. Tim Means,9,Alex Oliveira,2016-12-30,UFC 207: Nunes vs. Rousey
win,Michelle Waterson,12,1,2,1,Women's Strawweight,SUB  Rear Naked Choke,1,3:21,Michelle Waterson vs. Paige VanZant,0,Paige VanZant,2016-12-17,UFC Fight Night: VanZant vs. Waterson
loss,Paige VanZant,5,0,0,0,Women's Strawweight,SUB  Rear Naked Choke,1,3:21,Michelle Waterson vs. Paige VanZant,0,Michelle Waterson,2016-12-17,UFC Fight Night: VanZant vs. Waterson
win,Mickey Gall,9,2,3,4,Welterweight,SUB  Rear Naked Choke,2,1:40,Mickey Gall vs. Sage Northcutt,1,Sage Northcutt,2016-12-17,UFC Fight Night: VanZant vs. Waterson
